Model,Fold,Epoch,Accuracy,Loss,Val Loss,Val Accuracy
ResNet,1,0,0.8803,0.4629,0.0711,0.9805
ResNet,1,1,0.9857,0.0535,0.1887,0.9468
ResNet,1,2,0.9876,0.0471,0.0350,0.9885
ResNet,1,3,0.9992,0.0041,0.0004,0.9999
ResNet,1,4,0.9997,0.0014,0.0004,0.9999
ResNet,1,5,0.9999,0.0008,0.0003,0.9999
ResNet,1,6,0.9999,0.0006,0.0003,0.9999
ResNet,1,7,0.9999,0.0005,0.0003,0.9999
ResNet,1,8,0.9999,0.0005,0.0003,0.9999
ResNet,1,9,0.9999,0.0004,0.0003,0.9999
ResNet,2,0,0.8793,0.4656,0.1729,0.9537
ResNet,2,1,0.9824,0.0696,0.0744,0.9846
ResNet,2,2,0.9869,0.0558,0.0210,0.9932
ResNet,2,3,0.9988,0.0162,0.0025,0.9995
ResNet,2,4,0.9997,0.0110,0.0013,0.9999
ResNet,2,5,0.9999,0.0094,0.0013,0.9999
ResNet,2,6,0.9998,0.0064,0.0012,0.9999
ResNet,2,7,0.9999,0.0094,0.0012,0.9999
ResNet,2,8,0.9998,0.0079,0.0012,0.9999
ResNet,2,9,0.9999,0.0068,0.0012,0.9999
ResNet,3,0,0.8764,0.4854,0.1039,0.9672
ResNet,3,1,0.9820,0.0756,0.0303,0.9910
ResNet,3,2,0.9872,0.0583,0.0948,0.9787
ResNet,3,3,0.9985,0.0127,0.0005,0.9999
ResNet,3,4,0.9996,0.0091,0.0005,0.9999
ResNet,3,5,0.9997,0.0113,0.0003,0.9999
ResNet,3,6,0.9998,0.0088,0.0002,0.9999
ResNet,3,7,0.9998,0.0109,0.0003,0.9999
ResNet,3,8,0.9999,0.0078,0.0002,0.9999
ResNet,3,9,0.9999,0.0111,0.0002,0.9999
ResNet,4,0,0.8786,0.4684,0.0375,0.9893
ResNet,4,1,0.9833,0.0685,0.0614,0.9855
ResNet,4,2,0.9875,0.0573,0.0186,0.9949
ResNet,4,3,0.9988,0.0116,0.0006,0.9999
ResNet,4,4,0.9996,0.0078,0.0003,0.9999
ResNet,4,5,0.9997,0.0100,0.0004,0.9999
ResNet,4,6,0.9998,0.0072,0.0004,0.9999
ResNet,4,7,0.9999,0.0113,0.0004,0.9999
ResNet,4,8,0.9997,0.0110,0.0003,0.9999
ResNet,4,9,0.9998,0.0060,0.0004,0.9999
ResNet,5,0,0.8787,0.4770,0.0720,0.9771
ResNet,5,1,0.9825,0.0715,0.0578,0.9868
ResNet,5,2,0.9866,0.0569,0.0156,0.9954
ResNet,5,3,0.9989,0.0121,0.0014,0.9999
ResNet,5,4,0.9996,0.0137,0.0013,0.9999
ResNet,5,5,0.9997,0.0102,0.0013,0.9999
ResNet,5,6,0.9997,0.0106,0.0013,0.9999
ResNet,5,7,0.9999,0.0142,0.0015,0.9999
ResNet,5,8,0.9999,0.0093,0.0013,0.9999
ResNet,5,9,0.9999,0.0080,0.0013,0.9999
