media,n_samples,accuracy,macro_f1
CYA,261,0.7471264367816092,0.7017686882172864
PDA,303,0.7128712871287128,0.6769515183566367
MEAox,273,0.6886446886446886,0.6561078261078261
YES,291,0.6323024054982818,0.5346817596817597
OAT,296,0.6047297297297297,0.5189106161328383
CREA,265,0.44528301886792454,0.36173934750043246
