,precision,recall,f1-score,support
Acremonium,0.0,0.0,0.0,5.0
Acremonium_alternatum,0.0,0.0,0.0,5.0
Acremonium_strictum,0.0,0.0,0.0,5.0
Alternaria,0.0,0.0,0.0,5.0
Arthrinium_phaeospermum,0.0,0.0,0.0,4.0
Ascospirella_lutea,0.0,0.0,0.0,5.0
Aspergillus,0.0,0.0,0.0,5.0
Aspergillus_aculeatinus,1.0,0.25,0.4,4.0
Aspergillus_arachidicola,0.0,0.0,0.0,5.0
Aspergillus_calidoustus,0.09090909090909091,0.2,0.125,5.0
Aspergillus_creber,0.0,0.0,0.0,5.0
Aspergillus_flavus,1.0,0.2222222222222222,0.36363636363636365,9.0
Aspergillus_lentulus,1.0,0.5,0.6666666666666666,4.0
Aspergillus_minisclerotigenes,0.0,0.0,0.0,5.0
Aspergillus_montevidensis,0.5,0.2,0.2857142857142857,5.0
Aspergillus_neoglaber,0.0,0.0,0.0,5.0
Aspergillus_nomiae,0.13636363636363635,0.6,0.2222222222222222,5.0
Aspergillus_occultus,0.2857142857142857,1.0,0.4444444444444444,4.0
Aspergillus_pseudonomiae,0.5,0.6,0.5454545454545454,5.0
Aspergillus_puniceus,0.11764705882352941,0.8,0.20512820512820512,5.0
Aspergillus_thermomutatus,0.0,0.0,0.0,4.0
Aspergillus_ustus,0.4444444444444444,1.0,0.6153846153846154,4.0
Aspergillus_uvarum,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0
Aspergillus_wentii,0.0,0.0,0.0,5.0
Asteromyces_cruciatus,0.0,0.0,0.0,4.0
Aureobasidium_melanogenum,0.3,0.6,0.4,5.0
Aureobasidium_pullulans,0.3333333333333333,0.6,0.42857142857142855,5.0
Byssochlamys_spectabilis,0.0,0.0,0.0,5.0
Cladosporium,0.6428571428571429,1.0,0.782608695652174,9.0
Cladosporium_delicatulum,0.1111111111111111,0.2,0.14285714285714285,5.0
Cladosporium_tenuissimum,0.0,0.0,0.0,5.0
Cladosporium_varians,0.10714285714285714,0.6,0.18181818181818182,5.0
Drechslera,0.3076923076923077,0.8,0.4444444444444444,5.0
Epicoccum_nigrum,0.5,0.1111111111111111,0.18181818181818182,9.0
Fusarium_acuminatum,0.0,0.0,0.0,5.0
Fusarium_chlamydosporum,0.0,0.0,0.0,5.0
Fusarium_equiseti,0.5,0.2,0.2857142857142857,5.0
Fusarium_foetens,0.0,0.0,0.0,4.0
Fusarium_tricinctum,0.42857142857142855,0.6,0.5,10.0
Hamigera_avellanea,0.0,0.0,0.0,5.0
Hamigera_avellanea var. alba,0.3333333333333333,0.2,0.25,5.0
Hypocrea_pulvinata,0.2692307692307692,0.7777777777777778,0.4,9.0
Hypocrea_sulphurea,0.75,0.6,0.6666666666666666,5.0
Hypocrea_thelephoricola,0.6666666666666666,0.4,0.5,5.0
Mariannaea_elegans,0.5555555555555556,1.0,0.7142857142857143,5.0
Microdochium_nivale,0.2857142857142857,0.5,0.36363636363636365,4.0
Monascus_ruber,0.14285714285714285,0.2,0.16666666666666666,5.0
Monilinia_fructigena,0.0,0.0,0.0,5.0
Nigrospora_oryzae,0.2857142857142857,0.14285714285714285,0.19047619047619047,14.0
Paecilomyces_maximus,0.2,0.07692307692307693,0.1111111111111111,13.0
Penicillago_kabunica,0.0,0.0,0.0,5.0
Penicilliopsis_zonata,0.0,0.0,0.0,4.0
Penicillium restrictum,0.0,0.0,0.0,5.0
Penicillium_allii-sativi,0.0,0.0,0.0,5.0
Penicillium_antarcticum,0.125,0.5,0.2,4.0
Penicillium_arizonense,0.5,0.25,0.3333333333333333,4.0
Penicillium_atramentosum,0.25,0.2,0.2222222222222222,5.0
Penicillium_brasilianum,0.0,0.0,0.0,5.0
Penicillium_camponotum,0.0,0.0,0.0,4.0
Penicillium_canescens,0.08,0.4,0.13333333333333333,10.0
Penicillium_caseifulvum,0.0,0.0,0.0,3.0
Penicillium_chrysogenum,0.0,0.0,0.0,5.0
Penicillium_citrinum,0.0,0.0,0.0,5.0
Penicillium_coprobium,0.0,0.0,0.0,3.0
Penicillium_croceum,0.0,0.0,0.0,5.0
Penicillium_damascenum,0.0,0.0,0.0,5.0
Penicillium_fagi,0.0,0.0,0.0,8.0
Penicillium_flavigenum,0.0,0.0,0.0,5.0
Penicillium_frequentans,0.0,0.0,0.0,4.0
Penicillium_glabrum,0.3333333333333333,0.125,0.18181818181818182,8.0
Penicillium_griseopurpureum,0.0,0.0,0.0,3.0
Penicillium_hordei,0.3333333333333333,0.2,0.25,5.0
Penicillium_janczewskii,0.4,0.2,0.26666666666666666,10.0
Penicillium_jensenii,0.0,0.0,0.0,5.0
Penicillium_krskae,0.14285714285714285,0.25,0.18181818181818182,4.0
Penicillium_manginii,0.0,0.0,0.0,5.0
Penicillium_neojanthinellum,0.38461538461538464,0.7894736842105263,0.5172413793103449,19.0
Penicillium_ochrochloron,0.3076923076923077,0.8,0.4444444444444444,10.0
Penicillium_olsonii,0.42857142857142855,0.6,0.5,5.0
Penicillium_onobense,0.2222222222222222,0.14285714285714285,0.17391304347826086,14.0
Penicillium_piscarium,0.4444444444444444,0.8,0.5714285714285714,5.0
Penicillium_restrictum,0.0,0.0,0.0,9.0
Penicillium_ribium,0.14285714285714285,0.2,0.16666666666666666,5.0
Penicillium_rotoruae,0.2,0.14285714285714285,0.16666666666666666,14.0
Penicillium_ruben,0.3333333333333333,0.8,0.47058823529411764,5.0
Penicillium_rubens,0.0,0.0,0.0,4.0
Penicillium_scabrosum,0.17307692307692307,0.9,0.2903225806451613,10.0
Penicillium_soppii,0.0,0.0,0.0,5.0
Penicillium_steckii,0.0,0.0,0.0,4.0
Penicillium_velutinum,0.0,0.0,0.0,4.0
Penicillium_vulpinum,0.14285714285714285,0.2,0.16666666666666666,5.0
Penicillium_waksmanii,0.0,0.0,0.0,5.0
Penicillium_wotroi,0.14285714285714285,0.2222222222222222,0.17391304347826086,9.0
Pesisa_ostracoderma,1.0,1.0,1.0,5.0
Pezicula_carpinea,0.0,0.0,0.0,5.0
Phoma_americana,0.0,0.0,0.0,5.0
Phoma_epicoccina,0.0,0.0,0.0,4.0
Phoma_glomerata,0.0,0.0,0.0,5.0
Phoma_pomorum,1.0,0.1,0.18181818181818182,10.0
Phoma_sorghina,0.5,0.4,0.4444444444444444,5.0
Purpureocillium_lilacinum,0.0,0.0,0.0,8.0
Rasamsonia_argillacea,0.0,0.0,0.0,5.0
Rasamsonia_eburnea,0.0,0.0,0.0,5.0
Rasamsonia_piperina,0.0,0.0,0.0,5.0
Rhizomucor_pusillus,1.0,0.6666666666666666,0.8,9.0
Rhizopus_microsporus,1.0,0.6,0.75,5.0
Rhizopus_stolonifer,0.0,0.0,0.0,5.0
Sordaria_fimicola,1.0,0.2,0.3333333333333333,5.0
Stemphylium_vesicarium,1.0,0.4,0.5714285714285714,5.0
Talaromyces_apiculatus,0.0,0.0,0.0,4.0
Talaromyces_funiculosus,1.0,0.4,0.5714285714285714,5.0
Thermoascus_verrucosus,1.0,0.4,0.5714285714285714,5.0
Trichoderma,0.14814814814814814,0.8,0.25,5.0
Trichoderma_atroviride,0.0,0.0,0.0,5.0
Trichoderma_harzianum,1.0,0.25,0.4,4.0
Trichoderma_longibrachiatum,0.6,0.6,0.6,5.0
Ulocladium_chartarum,0.6,0.6,0.6,5.0
accuracy,0.28005865102639294,0.28005865102639294,0.28005865102639294,0.28005865102639294
macro avg,0.24489859050693644,0.24823115481010222,0.2050626345008511,682.0
weighted avg,0.273297783203769,0.28005865102639294,0.2303328885417696,682.0
