,precision,recall,f1-score,support
Acremonium,0.8333333333333334,1.0,0.9090909090909091,5.0
Acremonium_alternatum,0.8333333333333334,1.0,0.9090909090909091,5.0
Acremonium_strictum,1.0,1.0,1.0,5.0
Alternaria,0.75,0.6,0.6666666666666666,5.0
Arthrinium_phaeospermum,0.6666666666666666,1.0,0.8,4.0
Ascospirella_lutea,0.6666666666666666,0.4,0.5,5.0
Aspergillus,1.0,1.0,1.0,5.0
Aspergillus_aculeatinus,1.0,1.0,1.0,4.0
Aspergillus_arachidicola,1.0,1.0,1.0,5.0
Aspergillus_calidoustus,1.0,0.8,0.8888888888888888,5.0
Aspergillus_creber,1.0,0.8,0.8888888888888888,5.0
Aspergillus_flavus,0.9,1.0,0.9473684210526315,9.0
Aspergillus_lentulus,1.0,0.75,0.8571428571428571,4.0
Aspergillus_minisclerotigenes,1.0,1.0,1.0,5.0
Aspergillus_montevidensis,1.0,1.0,1.0,5.0
Aspergillus_neoglaber,0.8,0.8,0.8,5.0
Aspergillus_nomiae,1.0,0.8,0.8888888888888888,5.0
Aspergillus_occultus,1.0,1.0,1.0,4.0
Aspergillus_pseudonomiae,1.0,1.0,1.0,5.0
Aspergillus_puniceus,1.0,1.0,1.0,5.0
Aspergillus_thermomutatus,1.0,1.0,1.0,4.0
Aspergillus_ustus,1.0,1.0,1.0,4.0
Aspergillus_uvarum,1.0,1.0,1.0,13.0
Aspergillus_wentii,1.0,1.0,1.0,5.0
Asteromyces_cruciatus,1.0,0.25,0.4,4.0
Aureobasidium_melanogenum,1.0,1.0,1.0,5.0
Aureobasidium_pullulans,0.7142857142857143,1.0,0.8333333333333334,5.0
Byssochlamys_spectabilis,1.0,0.6,0.75,5.0
Cladosporium,1.0,1.0,1.0,9.0
Cladosporium_delicatulum,1.0,1.0,1.0,5.0
Cladosporium_tenuissimum,0.8333333333333334,1.0,0.9090909090909091,5.0
Cladosporium_varians,1.0,1.0,1.0,5.0
Drechslera,1.0,1.0,1.0,5.0
Epicoccum_nigrum,0.8571428571428571,0.6666666666666666,0.75,9.0
Fusarium_acuminatum,0.75,0.6,0.6666666666666666,5.0
Fusarium_chlamydosporum,0.8,0.8,0.8,5.0
Fusarium_equiseti,0.75,0.6,0.6666666666666666,5.0
Fusarium_foetens,0.5,0.25,0.3333333333333333,4.0
Fusarium_tricinctum,0.9090909090909091,1.0,0.9523809523809523,10.0
Hamigera_avellanea,1.0,1.0,1.0,5.0
Hamigera_avellanea var. alba,1.0,1.0,1.0,5.0
Hypocrea_pulvinata,0.8181818181818182,1.0,0.9,9.0
Hypocrea_sulphurea,1.0,1.0,1.0,5.0
Hypocrea_thelephoricola,1.0,1.0,1.0,5.0
Mariannaea_elegans,1.0,1.0,1.0,5.0
Microdochium_nivale,1.0,1.0,1.0,4.0
