,precision,recall,f1-score,support
Acremonium,1.0,0.4,0.5714285714285714,5.0
Acremonium_alternatum,0.5,0.2,0.2857142857142857,5.0
Acremonium_strictum,1.0,0.2,0.3333333333333333,5.0
Alternaria,1.0,0.5,0.6666666666666666,4.0
Arthrinium_phaeospermum,1.0,0.8,0.8888888888888888,5.0
Ascospirella_lutea,0.3333333333333333,0.4,0.36363636363636365,5.0
Aspergillus,1.0,0.4,0.5714285714285714,5.0
Aspergillus_aculeatinus,1.0,0.25,0.4,4.0
Aspergillus_arachidicola,1.0,1.0,1.0,5.0
Aspergillus_calidoustus,0.0,0.0,0.0,5.0
Aspergillus_creber,0.5714285714285714,0.8,0.6666666666666666,5.0
Aspergillus_flavus,1.0,0.8888888888888888,0.9411764705882353,9.0
Aspergillus_lentulus,0.8,1.0,0.8888888888888888,4.0
Aspergillus_minisclerotigenes,0.0,0.0,0.0,5.0
Aspergillus_montevidensis,0.3125,1.0,0.47619047619047616,5.0
Aspergillus_neoglaber,0.5555555555555556,1.0,0.7142857142857143,5.0
Aspergillus_nomiae,0.5,0.75,0.6,4.0
Aspergillus_occultus,0.8333333333333334,1.0,0.9090909090909091,5.0
Aspergillus_pseudonomiae,0.75,0.6,0.6666666666666666,5.0
Aspergillus_puniceus,1.0,0.2,0.3333333333333333,5.0
Aspergillus_thermomutatus,1.0,0.25,0.4,4.0
Aspergillus_ustus,1.0,1.0,1.0,4.0
Aspergillus_uvarum,0.8,0.9230769230769231,0.8571428571428571,13.0
Aspergillus_wentii,0.2857142857142857,1.0,0.4444444444444444,4.0
Asteromyces_cruciatus,0.5,0.2,0.2857142857142857,5.0
Aureobasidium_melanogenum,1.0,0.6,0.75,5.0
Aureobasidium_pullulans,0.6,0.6,0.6,5.0
Byssochlamys_spectabilis,0.6666666666666666,0.4,0.5,5.0
Cladosporium,1.0,1.0,1.0,9.0
Cladosporium_delicatulum,1.0,0.8,0.8888888888888888,5.0
Cladosporium_tenuissimum,0.4,0.8,0.5333333333333333,5.0
Cladosporium_varians,1.0,0.6,0.75,5.0
Drechslera,0.8,1.0,0.8888888888888888,4.0
Epicoccum_nigrum,0.5454545454545454,0.6,0.5714285714285714,10.0
Fusarium_acuminatum,0.25,0.2,0.2222222222222222,5.0
Fusarium_chlamydosporum,0.6666666666666666,0.4,0.5,5.0
Fusarium_equiseti,0.3333333333333333,0.75,0.46153846153846156,4.0
Fusarium_foetens,0.75,0.6,0.6666666666666666,5.0
Fusarium_tricinctum,1.0,0.6,0.75,10.0
Hamigera_avellanea,1.0,0.2,0.3333333333333333,5.0
Hamigera_avellanea var. alba,0.2,0.5,0.2857142857142857,4.0
Hypocrea_pulvinata,0.35294117647058826,0.6,0.4444444444444444,10.0
Hypocrea_sulphurea,0.8,0.8,0.8,5.0
Hypocrea_thelephoricola,0.8333333333333334,1.0,0.9090909090909091,5.0
Mariannaea_elegans,0.5,0.25,0.3333333333333333,4.0
Microdochium_nivale,0.625,1.0,0.7692307692307693,5.0
Monascus_ruber,0.7142857142857143,1.0,0.8333333333333334,5.0
Monilinia_fructigena,0.0,0.0,0.0,5.0
Nigrospora_oryzae,0.7,0.5,0.5833333333333334,14.0
Paecilomyces_maximus,0.6363636363636364,0.5384615384615384,0.5833333333333334,13.0
Penicillago_kabunica,0.6666666666666666,0.5,0.5714285714285714,4.0
Penicilliopsis_zonata,0.0,0.0,0.0,5.0
Penicillium restrictum,0.0,0.0,0.0,5.0
Penicillium_allii-sativi,0.0,0.0,0.0,5.0
Penicillium_antarcticum,0.4,0.5,0.4444444444444444,4.0
Penicillium_arizonense,0.4444444444444444,1.0,0.6153846153846154,4.0
Penicillium_atramentosum,0.4,0.4,0.4,5.0
Penicillium_brasilianum,0.5,0.25,0.3333333333333333,4.0
