,precision,recall,f1-score,support
Acremonium,0.0,0.0,0.0,5.0
Acremonium_alternatum,1.0,0.2,0.3333333333333333,5.0
Acremonium_strictum,1.0,0.6,0.75,5.0
Alternaria,0.0,0.0,0.0,4.0
Arthrinium_phaeospermum,0.4,0.8,0.5333333333333333,5.0
Ascospirella_lutea,0.2,0.2,0.2,5.0
Aspergillus,0.6666666666666666,0.4,0.5,5.0
Aspergillus_aculeatinus,0.8,1.0,0.8888888888888888,4.0
Aspergillus_arachidicola,0.625,1.0,0.7692307692307693,5.0
Aspergillus_calidoustus,0.2,0.2,0.2,5.0
Aspergillus_creber,1.0,0.4,0.5714285714285714,5.0
Aspergillus_flavus,1.0,0.8888888888888888,0.9411764705882353,9.0
Aspergillus_lentulus,0.3333333333333333,0.25,0.2857142857142857,4.0
Aspergillus_minisclerotigenes,0.45454545454545453,1.0,0.625,5.0
Aspergillus_montevidensis,0.8,0.8,0.8,5.0
Aspergillus_neoglaber,0.6666666666666666,0.8,0.7272727272727273,5.0
Aspergillus_nomiae,0.5,0.5,0.5,4.0
Aspergillus_occultus,0.7142857142857143,1.0,0.8333333333333334,5.0
Aspergillus_pseudonomiae,0.5,0.2,0.2857142857142857,5.0
Aspergillus_puniceus,0.0,0.0,0.0,5.0
Aspergillus_thermomutatus,0.3333333333333333,0.5,0.4,4.0
Aspergillus_ustus,1.0,0.75,0.8571428571428571,4.0
Aspergillus_uvarum,0.8125,1.0,0.896551724137931,13.0
Aspergillus_wentii,1.0,0.75,0.8571428571428571,4.0
Asteromyces_cruciatus,0.0,0.0,0.0,5.0
Aureobasidium_melanogenum,0.2222222222222222,0.8,0.34782608695652173,5.0
Aureobasidium_pullulans,0.20833333333333334,1.0,0.3448275862068966,5.0
Byssochlamys_spectabilis,0.6666666666666666,0.4,0.5,5.0
Cladosporium,0.6,0.6666666666666666,0.631578947368421,9.0
Cladosporium_delicatulum,0.0,0.0,0.0,5.0
Cladosporium_tenuissimum,0.0,0.0,0.0,5.0
Cladosporium_varians,0.0,0.0,0.0,5.0
Drechslera,0.3333333333333333,1.0,0.5,4.0
Epicoccum_nigrum,0.0,0.0,0.0,10.0
Fusarium_acuminatum,0.1,0.2,0.13333333333333333,5.0
Fusarium_chlamydosporum,0.6666666666666666,0.4,0.5,5.0
Fusarium_equiseti,0.25,0.5,0.3333333333333333,4.0
Fusarium_foetens,0.0,0.0,0.0,5.0
Fusarium_tricinctum,1.0,0.4,0.5714285714285714,10.0
Hamigera_avellanea,0.0,0.0,0.0,5.0
Hamigera_avellanea var. alba,0.5,0.5,0.5,4.0
Hypocrea_pulvinata,0.47058823529411764,0.8,0.5925925925925926,10.0
Hypocrea_sulphurea,0.5,0.2,0.2857142857142857,5.0
Hypocrea_thelephoricola,1.0,0.4,0.5714285714285714,5.0
Mariannaea_elegans,0.6666666666666666,1.0,0.8,4.0
Microdochium_nivale,0.8,0.8,0.8,5.0
Monascus_ruber,0.4444444444444444,0.8,0.5714285714285714,5.0
Monilinia_fructigena,0.08695652173913043,0.4,0.14285714285714285,5.0
Nigrospora_oryzae,0.18181818181818182,0.14285714285714285,0.16,14.0
Paecilomyces_maximus,0.7,0.5384615384615384,0.6086956521739131,13.0
Penicillago_kabunica,1.0,0.75,0.8571428571428571,4.0
Penicilliopsis_zonata,0.0,0.0,0.0,5.0
Penicillium restrictum,0.14285714285714285,0.2,0.16666666666666666,5.0
Penicillium_allii-sativi,0.19047619047619047,0.8,0.3076923076923077,5.0
Penicillium_antarcticum,0.5,0.5,0.5,4.0
Penicillium_arizonense,1.0,0.5,0.6666666666666666,4.0
Penicillium_atramentosum,1.0,0.2,0.3333333333333333,5.0
Penicillium_brasilianum,0.0,0.0,0.0,4.0
Penicillium_camponotum,0.0,0.0,0.0,5.0
Penicillium_canescens,0.25,0.1111111111111111,0.15384615384615385,9.0
Penicillium_caseifulvum,0.3333333333333333,1.0,0.5,4.0
Penicillium_chrysogenum,0.0,0.0,0.0,5.0
Penicillium_citrinum,0.5,0.2,0.2857142857142857,5.0
Penicillium_coprobium,0.0,0.0,0.0,3.0
Penicillium_croceum,0.14285714285714285,0.4,0.21052631578947367,5.0
Penicillium_damascenum,0.5,0.2,0.2857142857142857,5.0
Penicillium_fagi,0.75,0.375,0.5,8.0
Penicillium_flavigenum,0.6,0.6,0.6,5.0
Penicillium_frequentans,0.5,0.5,0.5,4.0
Penicillium_glabrum,1.0,0.125,0.2222222222222222,8.0
Penicillium_griseopurpureum,0.18181818181818182,0.6666666666666666,0.2857142857142857,3.0
Penicillium_hordei,0.0,0.0,0.0,5.0
Penicillium_janczewskii,0.0,0.0,0.0,10.0
Penicillium_jensenii,0.0,0.0,0.0,4.0
Penicillium_krskae,0.0,0.0,0.0,5.0
Penicillium_manginii,0.6666666666666666,0.4,0.5,5.0
Penicillium_neojanthinellum,0.5,0.47368421052631576,0.4864864864864865,19.0
Penicillium_ochrochloron,0.15625,0.5,0.23809523809523808,10.0
Penicillium_olsonii,1.0,0.6,0.75,5.0
Penicillium_onobense,0.23076923076923078,0.21428571428571427,0.2222222222222222,14.0
Penicillium_piscarium,1.0,0.5,0.6666666666666666,4.0
Penicillium_restrictum,0.6666666666666666,0.8,0.7272727272727273,10.0
Penicillium_ribium,0.5,1.0,0.6666666666666666,5.0
Penicillium_rotoruae,0.44,0.7857142857142857,0.5641025641025641,14.0
Penicillium_ruben,1.0,0.2,0.3333333333333333,5.0
Penicillium_rubens,0.5,0.75,0.6,4.0
Penicillium_scabrosum,0.2608695652173913,0.6,0.36363636363636365,10.0
Penicillium_soppii,0.0,0.0,0.0,4.0
Penicillium_steckii,0.3333333333333333,0.2,0.25,5.0
Penicillium_velutinum,0.75,0.75,0.75,4.0
Penicillium_vulpinum,0.75,0.6,0.6666666666666666,5.0
Penicillium_waksmanii,0.0,0.0,0.0,4.0
Penicillium_wotroi,1.0,0.7,0.8235294117647058,10.0
Pesisa_ostracoderma,1.0,1.0,1.0,5.0
Pezicula_carpinea,0.14285714285714285,0.2,0.16666666666666666,5.0
Phoma_americana,1.0,0.5,0.6666666666666666,4.0
Phoma_epicoccina,0.6666666666666666,0.4,0.5,5.0
Phoma_glomerata,0.5,0.2,0.2857142857142857,5.0
Phoma_pomorum,0.6,0.6,0.6,10.0
Phoma_sorghina,0.0,0.0,0.0,4.0
Purpureocillium_lilacinum,1.0,0.2222222222222222,0.36363636363636365,9.0
Rasamsonia_argillacea,0.5,0.4,0.4444444444444444,5.0
Rasamsonia_eburnea,0.6,0.6,0.6,5.0
Rasamsonia_piperina,0.6666666666666666,0.8,0.7272727272727273,5.0
Rhizomucor_pusillus,0.7777777777777778,0.7777777777777778,0.7777777777777778,9.0
Rhizopus_microsporus,1.0,0.2,0.3333333333333333,5.0
Rhizopus_stolonifer,0.4166666666666667,1.0,0.5882352941176471,5.0
Sordaria_fimicola,1.0,0.2,0.3333333333333333,5.0
Stemphylium_vesicarium,1.0,0.25,0.4,4.0
Talaromyces_apiculatus,0.14285714285714285,0.4,0.21052631578947367,5.0
Talaromyces_funiculosus,0.8,0.8,0.8,5.0
Thermoascus_verrucosus,0.75,0.6,0.6666666666666666,5.0
Trichoderma,1.0,0.2,0.3333333333333333,5.0
Trichoderma_atroviride,0.0,0.0,0.0,4.0
Trichoderma_harzianum,0.8,0.8,0.8,5.0
Trichoderma_longibrachiatum,0.8333333333333334,1.0,0.9090909090909091,5.0
Ulocladium_chartarum,0.5555555555555556,1.0,0.7142857142857143,5.0
accuracy,0.4574780058651026,0.4574780058651026,0.4574780058651026,0.4574780058651026
macro avg,0.49147269955036044,0.44904560876220795,0.4175658946293083,682.0
weighted avg,0.5002260455038315,0.4574780058651026,0.42854321356168024,682.0
