Model,Fold,Epoch,Accuracy,Loss,Val Loss,Val Accuracy
ResNet,1,0,0.1566,3.8312,2.8298,0.2801
ResNet,1,1,0.4585,1.9626,1.6912,0.5484
ResNet,1,2,0.6647,1.1464,1.3586,0.5777
ResNet,1,3,0.8316,0.5993,0.5310,0.8475
ResNet,1,4,0.9200,0.3110,0.3978,0.8930
ResNet,1,5,0.9450,0.2298,0.3361,0.9120
ResNet,1,6,0.9626,0.1777,0.3199,0.9223
ResNet,1,7,0.9644,0.1788,0.3127,0.9238
ResNet,1,8,0.9674,0.1643,0.3105,0.9238
ResNet,1,9,0.9699,0.1519,0.3040,0.9267
ResNet,2,0,0.1236,4.0231,3.2591,0.2185
ResNet,2,1,0.4336,2.0706,1.9570,0.4575
ResNet,2,2,0.6236,1.2575,1.4836,0.5499
ResNet,2,3,0.8210,0.6295,0.6935,0.7918
ResNet,2,4,0.9083,0.3446,0.5257,0.8431
ResNet,2,5,0.9347,0.2623,0.4393,0.8607
ResNet,2,6,0.9640,0.1829,0.4233,0.8754
ResNet,2,7,0.9622,0.1858,0.4137,0.8739
ResNet,2,8,0.9655,0.1707,0.4004,0.8812
ResNet,2,9,0.9648,0.1818,0.4031,0.8724
ResNet,3,0,0.1365,3.9050,3.0599,0.2581
ResNet,3,1,0.4747,1.8718,1.8277,0.5161
ResNet,3,2,0.6548,1.1636,1.2595,0.6628
ResNet,3,3,0.8210,0.6375,0.6813,0.8152
ResNet,3,4,0.9072,0.3564,0.5030,0.8622
ResNet,3,5,0.9446,0.2455,0.3986,0.9018
ResNet,3,6,0.9585,0.1906,0.3881,0.9018
ResNet,3,7,0.9600,0.1777,0.3819,0.9062
ResNet,3,8,0.9644,0.1745,0.3746,0.9076
ResNet,3,9,0.9652,0.1721,0.3725,0.9076
ResNet,4,0,0.1478,3.8514,3.2662,0.2687
ResNet,4,1,0.4562,1.9795,1.8536,0.4758
ResNet,4,2,0.6531,1.1991,1.1727,0.6711
ResNet,4,3,0.8045,0.6533,0.6778,0.8062
ResNet,4,4,0.8981,0.3729,0.5468,0.8399
ResNet,4,5,0.9388,0.2681,0.4683,0.8664
ResNet,4,6,0.9545,0.2131,0.4536,0.8708
ResNet,4,7,0.9494,0.2123,0.4410,0.8752
ResNet,4,8,0.9578,0.1921,0.4372,0.8708
ResNet,4,9,0.9582,0.1954,0.4348,0.8722
ResNet,5,0,0.1371,3.9348,2.9907,0.2996
ResNet,5,1,0.4437,2.0060,1.8503,0.5242
ResNet,5,2,0.6502,1.2258,1.2939,0.6285
ResNet,5,3,0.8082,0.6574,0.7146,0.8076
ResNet,5,4,0.9021,0.3457,0.5702,0.8488
ResNet,5,5,0.9413,0.2497,0.4952,0.8678
ResNet,5,6,0.9553,0.1872,0.4797,0.8752
ResNet,5,7,0.9593,0.1765,0.4683,0.8825
ResNet,5,8,0.9659,0.1705,0.4650,0.8840
ResNet,5,9,0.9685,0.1675,0.4590,0.8869
