,precision,recall,f1-score,support
Acremonium,1.0,0.2,0.3333333333333333,5.0
Acremonium_alternatum,0.75,0.6,0.6666666666666666,5.0
Acremonium_strictum,0.8,1.0,0.8888888888888888,4.0
Alternaria,1.0,0.2,0.3333333333333333,5.0
Arthrinium_phaeospermum,0.5555555555555556,1.0,0.7142857142857143,5.0
Ascospirella_lutea,0.0,0.0,0.0,5.0
Aspergillus,0.75,0.6,0.6666666666666666,5.0
Aspergillus_aculeatinus,1.0,0.25,0.4,4.0
Aspergillus_arachidicola,0.8333333333333334,1.0,0.9090909090909091,5.0
Aspergillus_calidoustus,0.0,0.0,0.0,5.0
Aspergillus_creber,1.0,0.75,0.8571428571428571,4.0
Aspergillus_flavus,1.0,0.9,0.9473684210526315,10.0
Aspergillus_lentulus,1.0,0.75,0.8571428571428571,4.0
Aspergillus_minisclerotigenes,1.0,1.0,1.0,5.0
Aspergillus_montevidensis,0.625,1.0,0.7692307692307693,5.0
Aspergillus_neoglaber,0.5714285714285714,1.0,0.7272727272727273,4.0
Aspergillus_nomiae,0.8,0.8,0.8,5.0
Aspergillus_occultus,1.0,1.0,1.0,5.0
Aspergillus_pseudonomiae,0.7142857142857143,1.0,0.8333333333333334,5.0
Aspergillus_puniceus,0.8,0.8,0.8,5.0
Aspergillus_thermomutatus,0.75,0.75,0.75,4.0
Aspergillus_ustus,1.0,0.25,0.4,4.0
Aspergillus_uvarum,0.5789473684210527,0.8461538461538461,0.6875,13.0
Aspergillus_wentii,1.0,1.0,1.0,4.0
Asteromyces_cruciatus,0.0,0.0,0.0,5.0
Aureobasidium_melanogenum,1.0,0.6,0.75,5.0
Aureobasidium_pullulans,0.3333333333333333,0.4,0.36363636363636365,5.0
Byssochlamys_spectabilis,0.0,0.0,0.0,4.0
Cladosporium,0.7142857142857143,1.0,0.8333333333333334,10.0
Cladosporium_delicatulum,0.0,0.0,0.0,5.0
Cladosporium_tenuissimum,0.0,0.0,0.0,5.0
Cladosporium_varians,0.3076923076923077,1.0,0.47058823529411764,4.0
Drechslera,1.0,0.6,0.75,5.0
Epicoccum_nigrum,0.4,0.8,0.5333333333333333,10.0
Fusarium_acuminatum,0.4,0.8,0.5333333333333333,5.0
Fusarium_chlamydosporum,0.36363636363636365,1.0,0.5333333333333333,4.0
Fusarium_equiseti,1.0,0.6,0.75,5.0
Fusarium_foetens,0.5,0.2,0.2857142857142857,5.0
Fusarium_tricinctum,0.875,0.7,0.7777777777777778,10.0
Hamigera_avellanea,1.0,1.0,1.0,4.0
Hamigera_avellanea var. alba,0.5,0.6,0.5454545454545454,5.0
Hypocrea_pulvinata,0.4166666666666667,0.5,0.45454545454545453,10.0
Hypocrea_sulphurea,1.0,0.8,0.8888888888888888,5.0
Hypocrea_thelephoricola,0.8,1.0,0.8888888888888888,4.0
Mariannaea_elegans,0.0,0.0,0.0,5.0
Microdochium_nivale,0.5,0.8,0.6153846153846154,5.0
Monascus_ruber,1.0,0.8,0.8888888888888888,5.0
Monilinia_fructigena,1.0,0.4,0.5714285714285714,5.0
Nigrospora_oryzae,0.6666666666666666,0.14285714285714285,0.23529411764705882,14.0
Paecilomyces_maximus,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0
Penicillago_kabunica,0.5555555555555556,1.0,0.7142857142857143,5.0
Penicilliopsis_zonata,1.0,0.2,0.3333333333333333,5.0
Penicillium restrictum,0.3076923076923077,0.8,0.4444444444444444,5.0
Penicillium_allii-sativi,0.625,1.0,0.7692307692307693,5.0
Penicillium_antarcticum,0.6666666666666666,1.0,0.8,4.0
Penicillium_arizonense,0.6666666666666666,0.5,0.5714285714285714,4.0
Penicillium_atramentosum,0.75,0.75,0.75,4.0
Penicillium_brasilianum,1.0,0.4,0.5714285714285714,5.0
Penicillium_camponotum,1.0,0.4,0.5714285714285714,5.0
Penicillium_canescens,0.6923076923076923,1.0,0.8181818181818182,9.0
Penicillium_caseifulvum,0.0,0.0,0.0,4.0
Penicillium_chrysogenum,0.0,0.0,0.0,5.0
Penicillium_citrinum,0.5,0.25,0.3333333333333333,4.0
Penicillium_coprobium,0.0,0.0,0.0,4.0
Penicillium_croceum,0.5,0.8,0.6153846153846154,5.0
Penicillium_damascenum,0.5714285714285714,0.8,0.6666666666666666,5.0
Penicillium_fagi,0.875,0.875,0.875,8.0
Penicillium_flavigenum,0.8333333333333334,1.0,0.9090909090909091,5.0
Penicillium_frequentans,0.5,0.6666666666666666,0.5714285714285714,3.0
Penicillium_glabrum,0.7777777777777778,0.875,0.8235294117647058,8.0
Penicillium_griseopurpureum,0.4,0.5,0.4444444444444444,4.0
Penicillium_hordei,1.0,0.2,0.3333333333333333,5.0
Penicillium_janczewskii,0.5555555555555556,0.5555555555555556,0.5555555555555556,9.0
Penicillium_jensenii,0.5,0.6,0.5454545454545454,5.0
Penicillium_krskae,1.0,0.2,0.3333333333333333,5.0
Penicillium_manginii,1.0,0.4,0.5714285714285714,5.0
Penicillium_neojanthinellum,0.6470588235294118,0.5789473684210527,0.6111111111111112,19.0
Penicillium_ochrochloron,0.6923076923076923,0.9,0.782608695652174,10.0
Penicillium_olsonii,1.0,1.0,1.0,4.0
Penicillium_onobense,0.631578947368421,0.8,0.7058823529411765,15.0
Penicillium_piscarium,0.5,0.25,0.3333333333333333,4.0
Penicillium_restrictum,0.6923076923076923,0.9,0.782608695652174,10.0
Penicillium_ribium,1.0,0.4,0.5714285714285714,5.0
Penicillium_rotoruae,0.6923076923076923,0.6428571428571429,0.6666666666666666,14.0
Penicillium_ruben,0.7142857142857143,1.0,0.8333333333333334,5.0
Penicillium_rubens,1.0,0.75,0.8571428571428571,4.0
Penicillium_scabrosum,0.47058823529411764,0.8888888888888888,0.6153846153846154,9.0
Penicillium_soppii,1.0,0.2,0.3333333333333333,5.0
Penicillium_steckii,0.7142857142857143,1.0,0.8333333333333334,5.0
Penicillium_velutinum,0.8,1.0,0.8888888888888888,4.0
Penicillium_vulpinum,1.0,1.0,1.0,4.0
Penicillium_waksmanii,0.0,0.0,0.0,5.0
Penicillium_wotroi,0.75,0.9,0.8181818181818182,10.0
Pesisa_ostracoderma,0.8,0.8,0.8,5.0
Pezicula_carpinea,1.0,0.25,0.4,4.0
Phoma_americana,0.7142857142857143,1.0,0.8333333333333334,5.0
Phoma_epicoccina,0.6666666666666666,0.4,0.5,5.0
Phoma_glomerata,1.0,0.4,0.5714285714285714,5.0
Phoma_pomorum,0.6666666666666666,0.6666666666666666,0.6666666666666666,9.0
Phoma_sorghina,1.0,0.4,0.5714285714285714,5.0
Purpureocillium_lilacinum,0.4444444444444444,0.8888888888888888,0.5925925925925926,9.0
Rasamsonia_argillacea,0.6666666666666666,0.4,0.5,5.0
Rasamsonia_eburnea,0.375,0.6,0.46153846153846156,5.0
Rasamsonia_piperina,0.5714285714285714,1.0,0.7272727272727273,4.0
Rhizomucor_pusillus,0.9090909090909091,1.0,0.9523809523809523,10.0
Rhizopus_microsporus,1.0,0.8,0.8888888888888888,5.0
Rhizopus_stolonifer,1.0,1.0,1.0,5.0
Sordaria_fimicola,1.0,0.5,0.6666666666666666,4.0
Stemphylium_vesicarium,0.6666666666666666,0.8,0.7272727272727273,5.0
Talaromyces_apiculatus,0.2857142857142857,0.8,0.42105263157894735,5.0
Talaromyces_funiculosus,0.8,0.8,0.8,5.0
Thermoascus_verrucosus,0.8333333333333334,1.0,0.9090909090909091,5.0
Trichoderma,0.5714285714285714,1.0,0.7272727272727273,4.0
Trichoderma_atroviride,0.6,0.6,0.6,5.0
Trichoderma_harzianum,1.0,0.8,0.8888888888888888,5.0
Trichoderma_longibrachiatum,0.8333333333333334,1.0,0.9090909090909091,5.0
Ulocladium_chartarum,1.0,0.4,0.5714285714285714,5.0
accuracy,0.6627565982404692,0.6627565982404692,0.6627565982404692,0.6627565982404692
macro avg,0.684834148692607,0.6458189358999076,0.6161170193661681,682.0
weighted avg,0.6835838722353299,0.6627565982404692,0.628413083525067,682.0
