,precision,recall,f1-score,support
Acremonium,0.0,0.0,0.0,12.0
Acremonium_alternatum,0.20833333333333334,0.4166666666666667,0.2777777777777778,12.0
Acremonium_strictum,0.0,0.0,0.0,12.0
Alternaria,1.0,0.08333333333333333,0.15384615384615385,12.0
Arthrinium_phaeospermum,0.2413793103448276,0.5833333333333334,0.34146341463414637,12.0
Ascospirella_lutea,0.0,0.0,0.0,12.0
Aspergillus,0.0,0.0,0.0,12.0
Aspergillus_aculeatinus,0.2,0.5454545454545454,0.2926829268292683,11.0
Aspergillus_arachidicola,0.0,0.0,0.0,12.0
Aspergillus_calidoustus,0.0,0.0,0.0,12.0
Aspergillus_creber,0.2727272727272727,0.25,0.2608695652173913,12.0
Aspergillus_flavus,0.24285714285714285,0.7083333333333334,0.3617021276595745,24.0
Aspergillus_lentulus,0.0,0.0,0.0,10.0
Aspergillus_minisclerotigenes,0.0,0.0,0.0,12.0
Aspergillus_montevidensis,0.25,0.08333333333333333,0.125,12.0
Aspergillus_neoglaber,0.0,0.0,0.0,12.0
Aspergillus_nomiae,0.14285714285714285,0.08333333333333333,0.10526315789473684,12.0
Aspergillus_occultus,0.0,0.0,0.0,12.0
Aspergillus_pseudonomiae,0.0,0.0,0.0,12.0
Aspergillus_puniceus,1.0,0.08333333333333333,0.15384615384615385,12.0
Aspergillus_thermomutatus,0.0,0.0,0.0,10.0
Aspergillus_ustus,0.0,0.0,0.0,11.0
Aspergillus_uvarum,0.5217391304347826,0.8,0.631578947368421,30.0
Aspergillus_wentii,0.0,0.0,0.0,11.0
Asteromyces_cruciatus,0.0,0.0,0.0,12.0
Aureobasidium_melanogenum,0.0,0.0,0.0,12.0
Aureobasidium_pullulans,0.0,0.0,0.0,12.0
Byssochlamys_spectabilis,0.0,0.0,0.0,12.0
Cladosporium,0.29545454545454547,0.5416666666666666,0.38235294117647056,24.0
Cladosporium_delicatulum,0.0,0.0,0.0,12.0
Cladosporium_tenuissimum,0.0,0.0,0.0,12.0
Cladosporium_varians,0.0,0.0,0.0,12.0
Drechslera,1.0,0.08333333333333333,0.15384615384615385,12.0
Epicoccum_nigrum,0.1282051282051282,0.20833333333333334,0.15873015873015872,24.0
Fusarium_acuminatum,0.5,0.08333333333333333,0.14285714285714285,12.0
Fusarium_chlamydosporum,0.02857142857142857,0.08333333333333333,0.0425531914893617,12.0
Fusarium_equiseti,0.25,0.08333333333333333,0.125,12.0
Fusarium_foetens,0.8,0.3333333333333333,0.47058823529411764,12.0
Fusarium_tricinctum,0.21153846153846154,0.4583333333333333,0.2894736842105263,24.0
Hamigera_avellanea,0.3333333333333333,0.16666666666666666,0.2222222222222222,12.0
Hamigera_avellanea var. alba,0.0,0.0,0.0,12.0
Hypocrea_pulvinata,0.06382978723404255,0.375,0.10909090909090909,24.0
Hypocrea_sulphurea,0.375,0.25,0.3,12.0
Hypocrea_thelephoricola,0.25,0.16666666666666666,0.2,12.0
Mariannaea_elegans,0.027777777777777776,0.08333333333333333,0.041666666666666664,12.0
Microdochium_nivale,0.0,0.0,0.0,12.0
Monascus_ruber,0.0,0.0,0.0,12.0
Monilinia_fructigena,0.0,0.0,0.0,12.0
Nigrospora_oryzae,0.09523809523809523,0.5555555555555556,0.16260162601626016,36.0
Paecilomyces_maximus,0.1,0.06896551724137931,0.08163265306122448,29.0
Penicillago_kabunica,0.125,0.08333333333333333,0.1,12.0
Penicilliopsis_zonata,0.0,0.0,0.0,12.0
Penicillium restrictum,0.0,0.0,0.0,12.0
Penicillium_allii-sativi,0.6666666666666666,0.16666666666666666,0.26666666666666666,12.0
Penicillium_antarcticum,0.3076923076923077,0.7272727272727273,0.43243243243243246,11.0
Penicillium_arizonense,0.25,0.3333333333333333,0.2857142857142857,9.0
Penicillium_atramentosum,0.8571428571428571,0.5,0.631578947368421,12.0
Penicillium_brasilianum,0.0,0.0,0.0,12.0
Penicillium_camponotum,0.0,0.0,0.0,11.0
