,precision,recall,f1-score,support
Acremonium,1.0,1.0,1.0,29.0
Acremonium_alternatum,1.0,1.0,1.0,29.0
Acremonium_strictum,1.0,1.0,1.0,28.0
Alternaria,1.0,1.0,1.0,29.0
Arthrinium_phaeospermum,1.0,1.0,1.0,29.0
Ascospirella_lutea,1.0,0.9655172413793104,0.9824561403508771,29.0
Aspergillus,1.0,1.0,1.0,29.0
Aspergillus_aculeatinus,1.0,1.0,1.0,26.0
Aspergillus_arachidicola,1.0,1.0,1.0,29.0
Aspergillus_calidoustus,1.0,1.0,1.0,29.0
Aspergillus_creber,1.0,1.0,1.0,29.0
Aspergillus_flavus,1.0,1.0,1.0,57.0
Aspergillus_lentulus,1.0,1.0,1.0,25.0
Aspergillus_minisclerotigenes,1.0,1.0,1.0,28.0
Aspergillus_montevidensis,1.0,1.0,1.0,29.0
Aspergillus_neoglaber,1.0,1.0,1.0,29.0
Aspergillus_nomiae,1.0,1.0,1.0,29.0
Aspergillus_occultus,1.0,1.0,1.0,29.0
Aspergillus_pseudonomiae,1.0,1.0,1.0,28.0
Aspergillus_puniceus,1.0,1.0,1.0,28.0
Aspergillus_thermomutatus,1.0,1.0,1.0,25.0
Aspergillus_ustus,1.0,1.0,1.0,26.0
Aspergillus_uvarum,1.0,1.0,1.0,73.0
Aspergillus_wentii,1.0,1.0,1.0,26.0
Asteromyces_cruciatus,1.0,1.0,1.0,29.0
Aureobasidium_melanogenum,1.0,1.0,1.0,29.0
Aureobasidium_pullulans,1.0,1.0,1.0,29.0
Byssochlamys_spectabilis,1.0,1.0,1.0,28.0
Cladosporium,1.0,1.0,1.0,58.0
Cladosporium_delicatulum,1.0,1.0,1.0,29.0
Cladosporium_tenuissimum,1.0,1.0,1.0,29.0
Cladosporium_varians,1.0,1.0,1.0,28.0
Drechslera,0.9666666666666667,1.0,0.9830508474576272,29.0
Epicoccum_nigrum,1.0,1.0,1.0,58.0
Fusarium_acuminatum,1.0,1.0,1.0,29.0
Fusarium_chlamydosporum,1.0,1.0,1.0,28.0
Fusarium_equiseti,1.0,0.9655172413793104,0.9824561403508771,29.0
Fusarium_foetens,1.0,1.0,1.0,29.0
Fusarium_tricinctum,0.9830508474576272,1.0,0.9914529914529915,58.0
Hamigera_avellanea,1.0,1.0,1.0,28.0
Hamigera_avellanea var. alba,1.0,1.0,1.0,29.0
Hypocrea_pulvinata,1.0,1.0,1.0,58.0
Hypocrea_sulphurea,1.0,1.0,1.0,28.0
Hypocrea_thelephoricola,1.0,1.0,1.0,29.0
Mariannaea_elegans,1.0,1.0,1.0,29.0
Microdochium_nivale,1.0,1.0,1.0,29.0
Monascus_ruber,1.0,1.0,1.0,29.0
Monilinia_fructigena,1.0,1.0,1.0,28.0
Nigrospora_oryzae,1.0,1.0,1.0,87.0
Paecilomyces_maximus,1.0,1.0,1.0,70.0
Penicillago_kabunica,1.0,1.0,1.0,28.0
Penicilliopsis_zonata,1.0,1.0,1.0,29.0
Penicillium restrictum,1.0,1.0,1.0,29.0
Penicillium_allii-sativi,1.0,1.0,1.0,29.0
Penicillium_antarcticum,1.0,1.0,1.0,26.0
Penicillium_arizonense,1.0,1.0,1.0,23.0
Penicillium_atramentosum,1.0,1.0,1.0,28.0
Penicillium_brasilianum,1.0,1.0,1.0,29.0
Penicillium_camponotum,1.0,1.0,1.0,27.0
