media,n_samples,accuracy,macro_f1
PDA,661,0.9863842662632375,0.9849902446119138
CYA,696,0.9798850574712644,0.9740795033305156
MEAox,655,0.9755725190839695,0.9767084929098095
OAT,706,0.9745042492917847,0.9645565936155936
YES,657,0.969558599695586,0.9714620186544144
CREA,680,0.9632352941176471,0.960877162151525
