,precision,recall,f1-score,support
Acremonium,1.0,1.0,1.0,29.0
Acremonium_alternatum,0.90625,1.0,0.9508196721311475,29.0
Acremonium_strictum,1.0,0.9655172413793104,0.9824561403508771,29.0
Alternaria,0.9655172413793104,1.0,0.9824561403508771,28.0
Arthrinium_phaeospermum,1.0,0.9655172413793104,0.9824561403508771,29.0
Ascospirella_lutea,1.0,0.896551724137931,0.9454545454545454,29.0
Aspergillus,1.0,1.0,1.0,29.0
Aspergillus_aculeatinus,1.0,1.0,1.0,26.0
Aspergillus_arachidicola,1.0,1.0,1.0,29.0
Aspergillus_calidoustus,1.0,1.0,1.0,29.0
Aspergillus_creber,1.0,1.0,1.0,29.0
Aspergillus_flavus,1.0,1.0,1.0,57.0
Aspergillus_lentulus,1.0,1.0,1.0,25.0
Aspergillus_minisclerotigenes,1.0,1.0,1.0,29.0
Aspergillus_montevidensis,1.0,1.0,1.0,28.0
Aspergillus_neoglaber,1.0,1.0,1.0,29.0
Aspergillus_nomiae,1.0,1.0,1.0,29.0
Aspergillus_occultus,1.0,1.0,1.0,29.0
Aspergillus_pseudonomiae,1.0,1.0,1.0,28.0
Aspergillus_puniceus,0.90625,1.0,0.9508196721311475,29.0
Aspergillus_thermomutatus,1.0,0.9583333333333334,0.9787234042553191,24.0
Aspergillus_ustus,1.0,1.0,1.0,27.0
Aspergillus_uvarum,1.0,1.0,1.0,72.0
Aspergillus_wentii,1.0,1.0,1.0,26.0
Asteromyces_cruciatus,1.0,1.0,1.0,29.0
Aureobasidium_melanogenum,1.0,1.0,1.0,29.0
Aureobasidium_pullulans,1.0,1.0,1.0,29.0
Byssochlamys_spectabilis,1.0,0.7241379310344828,0.84,29.0
Cladosporium,0.9827586206896551,1.0,0.991304347826087,57.0
Cladosporium_delicatulum,1.0,0.9655172413793104,0.9824561403508771,29.0
Cladosporium_tenuissimum,1.0,1.0,1.0,29.0
Cladosporium_varians,1.0,1.0,1.0,29.0
Drechslera,1.0,0.8928571428571429,0.9433962264150944,28.0
Epicoccum_nigrum,0.9354838709677419,1.0,0.9666666666666667,58.0
Fusarium_acuminatum,1.0,1.0,1.0,29.0
Fusarium_chlamydosporum,1.0,1.0,1.0,29.0
Fusarium_equiseti,1.0,1.0,1.0,28.0
Fusarium_foetens,0.9666666666666667,1.0,0.9830508474576272,29.0
Fusarium_tricinctum,1.0,0.9310344827586207,0.9642857142857143,58.0
Hamigera_avellanea,1.0,1.0,1.0,29.0
Hamigera_avellanea var. alba,1.0,1.0,1.0,28.0
