media,n_samples,accuracy,macro_f1
CREA,654,1.0,1.0
MEAox,671,1.0,1.0
PDA,702,1.0,1.0
OAT,685,1.0,1.0
CYA,691,0.9985528219971056,0.9990090424873033
YES,651,0.9984639016897081,0.9991711991711992
