media,n_samples,accuracy,macro_f1
PDA,1332,0.9632132132132132,0.9581622474425504
CYA,1375,0.9578181818181818,0.9529217429359177
OAT,1362,0.9368575624082232,0.9342626234900191
MEAox,1382,0.9341534008683068,0.9263562269639453
YES,1347,0.9294729027468448,0.9211298420052209
CREA,1305,0.8260536398467433,0.8235359118110248
