media,n_samples,accuracy,macro_f1
CREA,1328,1.0,1.0
CYA,1314,1.0,1.0
MEAox,1341,1.0,1.0
OAT,1392,1.0,1.0
PDA,1417,1.0,1.0
YES,1312,0.9992378048780488,0.999472619190929
