Model,Fold,Epoch,Class,Precision,Recall,F1-Score,Support
vit_b_16,1,0,Penicillium_chrysogenum,0.24489795918367346,0.21052631578947367,0.22641509433962265,57.0
vit_b_16,1,0,Penicillium_citrinum,0.09090909090909091,0.034482758620689655,0.05,58.0
vit_b_16,1,0,Penicillium_coprobium,0.0,0.0,0.0,33.0
vit_b_16,1,0,Penicillium_croceum,0.0,0.0,0.0,58.0
vit_b_16,1,0,Penicillium_damascenum,0.0989010989010989,0.15517241379310345,0.12080536912751678,58.0
vit_b_16,1,0,Penicillium_fagi,0.0,0.0,0.0,90.0
vit_b_16,1,0,Penicillium_flavigenum,0.0,0.0,0.0,57.0
vit_b_16,1,0,Penicillium_frequentans,0.0,0.0,0.0,32.0
vit_b_16,1,0,Penicillium_glabrum,0.13738019169329074,0.43434343434343436,0.2087378640776699,99.0
vit_b_16,1,0,Penicillium_griseopurpureum,0.0,0.0,0.0,32.0
vit_b_16,1,0,Penicillium_hordei,0.0,0.0,0.0,58.0
vit_b_16,1,0,Penicillium_janczewskii,0.1166077738515901,0.28695652173913044,0.1658291457286432,115.0
vit_b_16,1,0,Penicillium_jensenii,0.16666666666666666,0.08620689655172414,0.11363636363636363,58.0
vit_b_16,1,0,Penicillium_krskae,0.0,0.0,0.0,57.0
vit_b_16,1,0,Penicillium_manginii,0.023255813953488372,0.017241379310344827,0.019801980198019802,58.0
vit_b_16,1,0,Penicillium_neojanthinellum,0.17633136094674556,0.6478260869565218,0.2772093023255814,230.0
vit_b_16,1,0,Penicillium_ochrochloron,0.42028985507246375,0.25217391304347825,0.31521739130434784,115.0
vit_b_16,1,0,Penicillium_olsonii,0.19540229885057472,0.29310344827586204,0.23448275862068965,58.0
vit_b_16,1,0,Penicillium_onobense,0.0,0.0,0.0,173.0
vit_b_16,1,0,Penicillium_piscarium,0.25157232704402516,0.7547169811320755,0.37735849056603776,53.0
vit_b_16,1,0,Penicillium_restrictum,0.2016348773841962,0.6434782608695652,0.3070539419087137,115.0
vit_b_16,1,0,Penicillium_ribium,0.0,0.0,0.0,58.0
vit_b_16,1,0,Penicillium_rotoruae,0.19090909090909092,0.12138728323699421,0.14840989399293286,173.0
vit_b_16,1,0,Penicillium_ruben,0.0,0.0,0.0,57.0
vit_b_16,1,0,Penicillium_rubens,0.25,0.10204081632653061,0.14492753623188406,49.0
