,precision,recall,f1-score,support
Acremonium,0.0,0.0,0.0,4.0
Acremonium_alternatum,0.0,0.0,0.0,5.0
Acremonium_strictum,0.0,0.0,0.0,5.0
Alternaria,0.0,0.0,0.0,5.0
Arthrinium_phaeospermum,0.0,0.0,0.0,5.0
Ascospirella_lutea,0.0,0.0,0.0,4.0
Aspergillus,0.0,0.0,0.0,5.0
Aspergillus_aculeatinus,0.0,0.0,0.0,5.0
Aspergillus_arachidicola,0.0,0.0,0.0,4.0
Aspergillus_calidoustus,0.0,0.0,0.0,5.0
Aspergillus_creber,0.0,0.0,0.0,5.0
Aspergillus_flavus,0.0,0.0,0.0,10.0
Aspergillus_lentulus,0.0,0.0,0.0,4.0
Aspergillus_minisclerotigenes,0.0,0.0,0.0,4.0
Aspergillus_montevidensis,0.0,0.0,0.0,5.0
Aspergillus_neoglaber,0.0,0.0,0.0,5.0
Aspergillus_nomiae,0.0,0.0,0.0,5.0
Aspergillus_occultus,0.0,0.0,0.0,5.0
Aspergillus_pseudonomiae,0.0,0.0,0.0,4.0
Aspergillus_puniceus,0.0,0.0,0.0,5.0
Aspergillus_thermomutatus,0.0,0.0,0.0,4.0
Aspergillus_ustus,0.0,0.0,0.0,5.0
Aspergillus_uvarum,0.0975609756097561,1.0,0.17777777777777778,12.0
Aspergillus_wentii,0.0,0.0,0.0,5.0
Asteromyces_cruciatus,0.0,0.0,0.0,5.0
Aureobasidium_melanogenum,0.0,0.0,0.0,4.0
Aureobasidium_pullulans,0.0,0.0,0.0,5.0
Byssochlamys_spectabilis,0.0,0.0,0.0,5.0
Cladosporium,0.0,0.0,0.0,10.0
Cladosporium_delicatulum,0.0,0.0,0.0,4.0
Cladosporium_tenuissimum,0.0,0.0,0.0,5.0
Cladosporium_varians,0.0,0.0,0.0,5.0
Drechslera,0.0,0.0,0.0,5.0
Epicoccum_nigrum,0.0,0.0,0.0,9.0
Fusarium_acuminatum,0.0,0.0,0.0,5.0
Fusarium_chlamydosporum,0.0,0.0,0.0,5.0
Fusarium_equiseti,0.0,0.0,0.0,5.0
Fusarium_foetens,0.0,0.0,0.0,5.0
Fusarium_tricinctum,0.0,0.0,0.0,9.0
Hamigera_avellanea,0.0,0.0,0.0,5.0
Hamigera_avellanea var. alba,0.0,0.0,0.0,5.0
Hypocrea_pulvinata,0.1111111111111111,0.1111111111111111,0.1111111111111111,9.0
Hypocrea_sulphurea,0.0,0.0,0.0,5.0
Hypocrea_thelephoricola,0.0,0.0,0.0,5.0
Mariannaea_elegans,0.0,0.0,0.0,5.0
Microdochium_nivale,0.0,0.0,0.0,5.0
Monascus_ruber,0.0,0.0,0.0,4.0
Monilinia_fructigena,0.0,0.0,0.0,5.0
Nigrospora_oryzae,0.04,0.26666666666666666,0.06956521739130435,15.0
Paecilomyces_maximus,0.0,0.0,0.0,12.0
Penicillago_kabunica,0.0,0.0,0.0,5.0
Penicilliopsis_zonata,0.0,0.0,0.0,5.0
Penicillium restrictum,0.0,0.0,0.0,4.0
Penicillium_allii-sativi,0.0,0.0,0.0,5.0
Penicillium_antarcticum,0.0,0.0,0.0,5.0
Penicillium_arizonense,0.0,0.0,0.0,3.0
Penicillium_atramentosum,0.0,0.0,0.0,5.0
Penicillium_brasilianum,0.0,0.0,0.0,5.0
Penicillium_camponotum,0.0,0.0,0.0,4.0
Penicillium_canescens,0.0,0.0,0.0,10.0
Penicillium_caseifulvum,0.0,0.0,0.0,3.0
Penicillium_chrysogenum,0.0,0.0,0.0,5.0
Penicillium_citrinum,0.0,0.0,0.0,5.0
Penicillium_coprobium,0.0,0.0,0.0,4.0
Penicillium_croceum,0.0,0.0,0.0,4.0
