media,n_samples,accuracy,macro_f1
PDA,115,0.11304347826086956,0.025872214074918975
MEAox,125,0.104,0.014831534120327223
OAT,116,0.07758620689655173,0.026336072229792035
CYA,101,0.06930693069306931,0.018487940630797776
YES,118,0.06779661016949153,0.02089612216194495
CREA,106,0.03773584905660377,0.015606242496998799
