Model,Fold,Epoch,Accuracy,Loss,Val Loss,Val Accuracy
VisionTransformer,1,0,0.0183,4.8152,4.6827,0.0337
VisionTransformer,1,1,0.0363,4.6737,4.4877,0.0352
VisionTransformer,1,2,0.0348,4.5540,4.3306,0.0484
VisionTransformer,1,3,0.0337,4.4400,4.3066,0.0601
VisionTransformer,1,4,0.0422,4.3670,4.2569,0.0630
VisionTransformer,1,5,0.0517,4.3178,4.2001,0.0762
VisionTransformer,1,6,0.0565,4.2716,4.1971,0.0748
VisionTransformer,1,7,0.0565,4.2984,4.1897,0.0777
VisionTransformer,1,8,0.0561,4.2659,4.1894,0.0792
VisionTransformer,1,9,0.0598,4.2714,4.1879,0.0792
VisionTransformer,2,0,0.0205,4.8407,4.6830,0.0323
VisionTransformer,2,1,0.0308,4.6755,4.5088,0.0411
VisionTransformer,2,2,0.0337,4.5901,4.5299,0.0396
VisionTransformer,2,3,0.0437,4.5036,4.3605,0.0440
VisionTransformer,2,4,0.0477,4.4117,4.3192,0.0455
VisionTransformer,2,5,0.0521,4.3865,4.2879,0.0513
VisionTransformer,2,6,0.0506,4.3469,4.2764,0.0528
VisionTransformer,2,7,0.0506,4.3543,4.2694,0.0513
VisionTransformer,2,8,0.0532,4.3542,4.2673,0.0528
VisionTransformer,2,9,0.0558,4.3422,4.2666,0.0528
VisionTransformer,3,0,0.0180,4.8441,4.7515,0.0279
VisionTransformer,3,1,0.0326,4.7524,4.6596,0.0425
VisionTransformer,3,2,0.0286,4.6487,4.5762,0.0235
VisionTransformer,3,3,0.0348,4.5649,4.4618,0.0484
VisionTransformer,3,4,0.0418,4.4924,4.3971,0.0499
VisionTransformer,3,5,0.0444,4.4643,4.3583,0.0528
VisionTransformer,3,6,0.0422,4.4454,4.3559,0.0528
VisionTransformer,3,7,0.0382,4.4473,4.3563,0.0528
VisionTransformer,3,8,0.0418,4.4316,4.3525,0.0543
VisionTransformer,3,9,0.0448,4.4318,4.3521,0.0543
VisionTransformer,4,0,0.0180,4.7845,4.6431,0.0338
VisionTransformer,4,1,0.0392,4.6406,4.4926,0.0499
VisionTransformer,4,2,0.0356,4.5433,4.4011,0.0485
VisionTransformer,4,3,0.0477,4.4165,4.2787,0.0558
VisionTransformer,4,4,0.0484,4.3386,4.2006,0.0720
VisionTransformer,4,5,0.0532,4.3001,4.1400,0.0793
VisionTransformer,4,6,0.0605,4.2480,4.1281,0.0764
VisionTransformer,4,7,0.0594,4.2170,4.1223,0.0764
VisionTransformer,4,8,0.0594,4.2296,4.1178,0.0778
VisionTransformer,4,9,0.0576,4.2321,4.1174,0.0793
VisionTransformer,5,0,0.0194,4.8281,4.7141,0.0367
VisionTransformer,5,1,0.0279,4.6843,4.5231,0.0279
VisionTransformer,5,2,0.0323,4.5397,4.4072,0.0396
VisionTransformer,5,3,0.0422,4.4259,4.3624,0.0470
VisionTransformer,5,4,0.0429,4.4052,4.3323,0.0470
VisionTransformer,5,5,0.0451,4.3768,4.3090,0.0499
VisionTransformer,5,6,0.0484,4.3638,4.3093,0.0499
VisionTransformer,5,7,0.0543,4.3414,4.3080,0.0499
VisionTransformer,5,8,0.0499,4.3398,4.3046,0.0514
VisionTransformer,5,9,0.0484,4.3400,4.3040,0.0499
