Model,Fold,Epoch,Accuracy,Loss,Val Loss,Val Accuracy
VisionTransformer,1,0,0.1581,3.4553,1.9178,0.4441
VisionTransformer,1,1,0.5686,1.4183,0.6981,0.7829
VisionTransformer,1,2,0.8202,0.5709,0.2210,0.9279
VisionTransformer,1,3,0.9606,0.1402,0.0465,0.9895
VisionTransformer,1,4,0.9771,0.0831,0.0341,0.9919
VisionTransformer,1,5,0.9836,0.0619,0.0259,0.9954
VisionTransformer,1,6,0.9877,0.0472,0.0211,0.9964
VisionTransformer,1,7,0.9893,0.0431,0.0202,0.9965
VisionTransformer,1,8,0.9895,0.0421,0.0187,0.9972
VisionTransformer,1,9,0.9905,0.0380,0.0182,0.9973
VisionTransformer,2,0,0.1538,3.4755,3.6572,0.1588
VisionTransformer,2,1,0.4948,1.7224,1.1118,0.6809
VisionTransformer,2,2,0.7667,0.7431,0.3855,0.8786
VisionTransformer,2,3,0.9379,0.2094,0.0833,0.9794
VisionTransformer,2,4,0.9639,0.1264,0.0561,0.9864
VisionTransformer,2,5,0.9736,0.0970,0.0444,0.9894
VisionTransformer,2,6,0.9811,0.0711,0.0335,0.9934
VisionTransformer,2,7,0.9838,0.0628,0.0296,0.9946
VisionTransformer,2,8,0.9839,0.0627,0.0285,0.9946
VisionTransformer,2,9,0.9840,0.0598,0.0280,0.9948
VisionTransformer,3,0,0.1553,3.4916,2.8877,0.2890
VisionTransformer,3,1,0.5138,1.6382,0.8497,0.7412
VisionTransformer,3,2,0.7851,0.6772,0.3734,0.8823
VisionTransformer,3,3,0.9500,0.1727,0.0692,0.9833
VisionTransformer,3,4,0.9700,0.1081,0.0489,0.9894
VisionTransformer,3,5,0.9781,0.0802,0.0292,0.9936
VisionTransformer,3,6,0.9849,0.0584,0.0249,0.9953
VisionTransformer,3,7,0.9866,0.0522,0.0224,0.9959
VisionTransformer,3,8,0.9878,0.0507,0.0212,0.9963
VisionTransformer,3,9,0.9884,0.0534,0.0212,0.9964
VisionTransformer,4,0,0.0879,3.9400,3.0082,0.1997
VisionTransformer,4,1,0.4095,2.0343,2.8212,0.3532
VisionTransformer,4,2,0.6837,1.0237,0.5821,0.8058
VisionTransformer,4,3,0.9182,0.2777,0.1279,0.9659
VisionTransformer,4,4,0.9490,0.1757,0.0809,0.9796
VisionTransformer,4,5,0.9627,0.1299,0.0674,0.9824
VisionTransformer,4,6,0.9739,0.0947,0.0466,0.9891
VisionTransformer,4,7,0.9758,0.0876,0.0433,0.9901
VisionTransformer,4,8,0.9780,0.0815,0.0425,0.9898
VisionTransformer,4,9,0.9797,0.0782,0.0403,0.9906
VisionTransformer,5,0,0.1509,3.4870,2.3477,0.3486
VisionTransformer,5,1,0.5291,1.5852,0.8187,0.7430
VisionTransformer,5,2,0.7985,0.6380,0.3158,0.8985
VisionTransformer,5,3,0.9489,0.1752,0.0670,0.9832
VisionTransformer,5,4,0.9710,0.1038,0.0508,0.9891
VisionTransformer,5,5,0.9747,0.0869,0.0412,0.9905
VisionTransformer,5,6,0.9842,0.0596,0.0287,0.9942
VisionTransformer,5,7,0.9851,0.0566,0.0276,0.9949
VisionTransformer,5,8,0.9855,0.0533,0.0252,0.9952
VisionTransformer,5,9,0.9872,0.0505,0.0248,0.9956
