media,n_samples,accuracy,macro_f1
PDA,2804,0.9925106990014265,0.9917179395325
OAT,2638,0.9912812736921911,0.9915707483582583
CYA,2691,0.9836492010405053,0.9816317624855282
YES,2739,0.9602044541803578,0.9641115832286958
MEAox,2636,0.9533383915022762,0.9498120051682749
CREA,2684,0.9135618479880775,0.9099358246187396
