epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,140.481,2.21645,0.62524,0.90005,1.30349,0.0670655,0.000332672,0.000332672
2,263.498,0.71269,0.81229,0.9812,0.5677,0.0340325,0.000633038,0.000633038
3,385.918,0.51671,0.90945,0.9946,0.2892,0.000966542,0.000900404,0.000900404
4,508.059,0.43692,0.86881,0.98199,0.42388,0.0008515,0.0008515,0.0008515
5,630.668,0.34612,0.87458,0.98799,0.41375,0.000802,0.000802,0.000802
6,753.484,0.32135,0.97695,0.99945,0.07337,0.0007525,0.0007525,0.0007525
7,876.424,0.26906,0.97398,0.99951,0.08309,0.000703,0.000703,0.000703
8,998.607,0.24932,0.98878,0.9997,0.04076,0.0006535,0.0006535,0.0006535
9,1120.97,0.22532,0.98823,0.99988,0.04082,0.000604,0.000604,0.000604
10,1243.69,0.20689,0.99175,0.99982,0.02837,0.0005545,0.0005545,0.0005545
11,1370.4,0.1861,0.99509,0.99988,0.01887,0.000505,0.000505,0.000505
12,1495.8,0.16084,0.99557,0.99988,0.01541,0.0004555,0.0004555,0.0004555
13,1619.92,0.15272,0.99806,0.99988,0.00896,0.000406,0.000406,0.000406
14,1744.28,0.12536,0.99879,0.99988,0.00589,0.0003565,0.0003565,0.0003565
15,1867.17,0.10739,0.99933,0.99988,0.00439,0.000307,0.000307,0.000307
16,1993.71,0.09525,0.99976,0.99988,0.00282,0.0002575,0.0002575,0.0002575
17,2116.28,0.07721,0.99982,0.99988,0.00224,0.000208,0.000208,0.000208
18,2238.55,0.06199,0.99976,0.99988,0.002,0.0001585,0.0001585,0.0001585
19,2363.28,0.05005,0.99976,0.99988,0.00165,0.000109,0.000109,0.000109
20,2486.21,0.04138,0.99988,0.99988,0.00146,5.95e-05,5.95e-05,5.95e-05
