epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,50.6227,3.57434,0.29481,0.61888,2.71912,0.0672598,0.000330709,0.000330709
2,91.5042,1.60179,0.69068,0.95156,1.02087,0.034227,0.000631172,0.000631172
3,132.571,1.0466,0.58102,0.87878,1.51709,0.0011611,0.000898635,0.000898635
4,173.583,0.8196,0.81362,0.98598,0.58241,0.0008515,0.0008515,0.0008515
5,215.194,0.59053,0.89378,0.99361,0.36205,0.000802,0.000802,0.000802
6,255.354,0.50449,0.88812,0.98279,0.3723,0.0007525,0.0007525,0.0007525
7,296.533,0.41217,0.93902,0.99803,0.20722,0.000703,0.000703,0.000703
8,337.67,0.36883,0.9105,0.9941,0.2828,0.0006535,0.0006535,0.0006535
9,378.745,0.3271,0.95574,0.99902,0.13187,0.000604,0.000604,0.000604
10,419.531,0.28214,0.97418,0.99902,0.07912,0.0005545,0.0005545,0.0005545
11,464.589,0.2485,0.98574,0.99975,0.05621,0.000505,0.000505,0.000505
12,506.048,0.22384,0.97762,0.99926,0.07484,0.0004555,0.0004555,0.0004555
13,547.431,0.19945,0.98697,0.99951,0.05071,0.000406,0.000406,0.000406
14,588.801,0.18741,0.98943,0.99975,0.03834,0.0003565,0.0003565,0.0003565
15,629.779,0.15791,0.99557,0.99975,0.02762,0.000307,0.000307,0.000307
16,670.163,0.14109,0.99631,0.99975,0.02298,0.0002575,0.0002575,0.0002575
17,710.652,0.12985,0.99631,0.99951,0.0219,0.000208,0.000208,0.000208
18,752.04,0.10667,0.99852,0.99975,0.0126,0.0001585,0.0001585,0.0001585
19,793.206,0.09352,0.99852,0.99951,0.01138,0.000109,0.000109,0.000109
20,834.408,0.08917,0.99877,0.99951,0.00956,5.95e-05,5.95e-05,5.95e-05
