epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,25.1526,4.19964,0.16626,0.45676,3.38839,0.0676111,0.00032716,0.00032716
2,38.9373,2.56277,0.3922,0.75335,2.16211,0.0345784,0.000627799,0.000627799
3,52.0295,1.79275,0.57065,0.85993,1.49568,0.00151272,0.000895438,0.000895438
4,66.2614,1.40283,0.64616,0.92266,1.17034,0.0008515,0.0008515,0.0008515
5,80.9798,1.07627,0.75883,0.96894,0.82394,0.000802,0.000802,0.000802
6,95.7003,0.84965,0.83435,0.98295,0.58461,0.0007525,0.0007525,0.0007525
7,114.397,0.7291,0.83313,0.98417,0.52895,0.000703,0.000703,0.000703
8,129.139,0.65623,0.87576,0.99147,0.38445,0.0006535,0.0006535,0.0006535
9,143.881,0.55153,0.88551,0.99574,0.36398,0.000604,0.000604,0.000604
10,163.681,0.4696,0.92205,0.99756,0.27839,0.0005545,0.0005545,0.0005545
11,181.278,0.42513,0.9324,0.99756,0.23664,0.000505,0.000505,0.000505
12,196.131,0.3799,0.93423,0.99756,0.20846,0.0004555,0.0004555,0.0004555
13,210.348,0.34791,0.94275,0.99695,0.19775,0.000406,0.000406,0.000406
14,224.654,0.29937,0.95981,0.99878,0.14363,0.0003565,0.0003565,0.0003565
15,238.973,0.25814,0.96894,0.99878,0.12102,0.000307,0.000307,0.000307
16,256.62,0.25332,0.9732,0.99939,0.11023,0.0002575,0.0002575,0.0002575
17,271.237,0.22441,0.97686,0.99939,0.09658,0.000208,0.000208,0.000208
18,285.553,0.21542,0.98295,0.99939,0.07477,0.0001585,0.0001585,0.0001585
19,299.416,0.18997,0.98538,0.99939,0.06783,0.000109,0.000109,0.000109
20,313.074,0.16785,0.98477,0.99939,0.06163,5.95e-05,5.95e-05,5.95e-05
