media,n_samples,accuracy,macro_f1
PDA,115,0.8782608695652174,0.8367965367965369
CYA,101,0.8613861386138614,0.7890604890604891
MEAox,125,0.832,0.7740863787375415
YES,118,0.788135593220339,0.7089075630252101
OAT,116,0.7672413793103449,0.7216151664427526
CREA,106,0.6792452830188679,0.6118760757314973
