,precision,recall,f1-score,support
Acremonium,0.6666666666666666,1.0,0.8,4.0
Acremonium_alternatum,0.7142857142857143,1.0,0.8333333333333334,5.0
Acremonium_strictum,0.8,0.8,0.8,5.0
Alternaria,0.8,0.8,0.8,5.0
Arthrinium_phaeospermum,1.0,0.6,0.75,5.0
Ascospirella_lutea,1.0,0.25,0.4,4.0
Aspergillus,0.6,0.6,0.6,5.0
Aspergillus_aculeatinus,1.0,1.0,1.0,5.0
Aspergillus_arachidicola,1.0,1.0,1.0,4.0
Aspergillus_calidoustus,0.6,0.6,0.6,5.0
Aspergillus_creber,0.7142857142857143,1.0,0.8333333333333334,5.0
Aspergillus_flavus,1.0,1.0,1.0,10.0
Aspergillus_lentulus,1.0,1.0,1.0,4.0
Aspergillus_minisclerotigenes,1.0,0.75,0.8571428571428571,4.0
Aspergillus_montevidensis,1.0,1.0,1.0,5.0
Aspergillus_neoglaber,0.6666666666666666,0.4,0.5,5.0
Aspergillus_nomiae,0.8333333333333334,1.0,0.9090909090909091,5.0
Aspergillus_occultus,0.8333333333333334,1.0,0.9090909090909091,5.0
Aspergillus_pseudonomiae,1.0,1.0,1.0,4.0
Aspergillus_puniceus,1.0,0.6,0.75,5.0
Aspergillus_thermomutatus,1.0,0.75,0.8571428571428571,4.0
Aspergillus_ustus,1.0,1.0,1.0,5.0
Aspergillus_uvarum,1.0,1.0,1.0,12.0
Aspergillus_wentii,1.0,1.0,1.0,5.0
Asteromyces_cruciatus,1.0,0.8,0.8888888888888888,5.0
Aureobasidium_melanogenum,1.0,0.75,0.8571428571428571,4.0
Aureobasidium_pullulans,0.45454545454545453,1.0,0.625,5.0
Byssochlamys_spectabilis,0.6666666666666666,0.4,0.5,5.0
Cladosporium,1.0,1.0,1.0,10.0
Cladosporium_delicatulum,0.5,1.0,0.6666666666666666,4.0
Cladosporium_tenuissimum,0.6666666666666666,0.8,0.7272727272727273,5.0
Cladosporium_varians,1.0,1.0,1.0,5.0
Drechslera,1.0,0.2,0.3333333333333333,5.0
Epicoccum_nigrum,0.7,0.7777777777777778,0.7368421052631579,9.0
Fusarium_acuminatum,0.75,0.6,0.6666666666666666,5.0
Fusarium_chlamydosporum,0.625,1.0,0.7692307692307693,5.0
Fusarium_equiseti,0.5714285714285714,0.8,0.6666666666666666,5.0
Fusarium_foetens,1.0,0.8,0.8888888888888888,5.0
Fusarium_tricinctum,0.8571428571428571,0.6666666666666666,0.75,9.0
Hamigera_avellanea,1.0,1.0,1.0,5.0
Hamigera_avellanea var. alba,1.0,0.4,0.5714285714285714,5.0
Hypocrea_pulvinata,0.8,0.8888888888888888,0.8421052631578947,9.0
Hypocrea_sulphurea,1.0,1.0,1.0,5.0
Hypocrea_thelephoricola,0.7142857142857143,1.0,0.8333333333333334,5.0
Mariannaea_elegans,1.0,1.0,1.0,5.0
Microdochium_nivale,1.0,1.0,1.0,5.0
Monascus_ruber,1.0,1.0,1.0,4.0
Monilinia_fructigena,1.0,0.4,0.5714285714285714,5.0
Nigrospora_oryzae,0.6470588235294118,0.7333333333333333,0.6875,15.0
Paecilomyces_maximus,0.9230769230769231,1.0,0.96,12.0
Penicillago_kabunica,1.0,1.0,1.0,5.0
Penicilliopsis_zonata,1.0,0.4,0.5714285714285714,5.0
Penicillium restrictum,0.5,0.25,0.3333333333333333,4.0
Penicillium_allii-sativi,0.8333333333333334,1.0,0.9090909090909091,5.0
Penicillium_antarcticum,1.0,1.0,1.0,5.0
Penicillium_arizonense,1.0,0.6666666666666666,0.8,3.0
Penicillium_atramentosum,1.0,0.6,0.75,5.0
Penicillium_brasilianum,1.0,0.8,0.8888888888888888,5.0
Penicillium_camponotum,0.5,0.25,0.3333333333333333,4.0
Penicillium_canescens,0.8333333333333334,1.0,0.9090909090909091,10.0
Penicillium_caseifulvum,1.0,1.0,1.0,3.0
Penicillium_chrysogenum,0.8333333333333334,1.0,0.9090909090909091,5.0
Penicillium_citrinum,0.6666666666666666,0.8,0.7272727272727273,5.0
Penicillium_coprobium,0.0,0.0,0.0,4.0
Penicillium_croceum,0.375,0.75,0.5,4.0
Penicillium_damascenum,0.7142857142857143,1.0,0.8333333333333334,5.0
Penicillium_fagi,0.5454545454545454,0.6666666666666666,0.6,9.0
Penicillium_flavigenum,0.5,0.5,0.5,4.0
Penicillium_frequentans,0.2,0.25,0.2222222222222222,4.0
Penicillium_glabrum,0.6666666666666666,0.75,0.7058823529411765,8.0
Penicillium_griseopurpureum,1.0,0.5,0.6666666666666666,4.0
Penicillium_hordei,0.75,0.75,0.75,4.0
Penicillium_janczewskii,0.6428571428571429,0.9,0.75,10.0
Penicillium_jensenii,1.0,0.4,0.5714285714285714,5.0
Penicillium_krskae,0.6666666666666666,0.4,0.5,5.0
Penicillium_manginii,1.0,0.75,0.8571428571428571,4.0
Penicillium_neojanthinellum,0.8695652173913043,1.0,0.9302325581395349,20.0
Penicillium_ochrochloron,0.9,1.0,0.9473684210526315,9.0
Penicillium_olsonii,1.0,0.8,0.8888888888888888,5.0
Penicillium_onobense,0.8333333333333334,0.7142857142857143,0.7692307692307693,14.0
Penicillium_piscarium,1.0,1.0,1.0,5.0
Penicillium_restrictum,0.875,0.7777777777777778,0.8235294117647058,9.0
Penicillium_ribium,1.0,1.0,1.0,5.0
Penicillium_rotoruae,0.8125,0.8666666666666667,0.8387096774193549,15.0
Penicillium_ruben,0.8,1.0,0.8888888888888888,4.0
Penicillium_rubens,1.0,1.0,1.0,4.0
Penicillium_scabrosum,0.7692307692307693,1.0,0.8695652173913043,10.0
Penicillium_soppii,1.0,0.2,0.3333333333333333,5.0
Penicillium_steckii,0.75,0.6,0.6666666666666666,5.0
Penicillium_velutinum,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
Penicillium_vulpinum,0.6666666666666666,0.8,0.7272727272727273,5.0
Penicillium_waksmanii,1.0,0.6,0.75,5.0
Penicillium_wotroi,1.0,1.0,1.0,9.0
Pesisa_ostracoderma,1.0,1.0,1.0,5.0
Pezicula_carpinea,1.0,0.6,0.75,5.0
Phoma_americana,0.8333333333333334,1.0,0.9090909090909091,5.0
Phoma_epicoccina,0.5,0.4,0.4444444444444444,5.0
Phoma_glomerata,0.8,1.0,0.8888888888888888,4.0
Phoma_pomorum,0.9,0.9,0.9,10.0
Phoma_sorghina,1.0,1.0,1.0,5.0
Purpureocillium_lilacinum,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
Rasamsonia_argillacea,0.5,0.75,0.6,4.0
Rasamsonia_eburnea,0.6666666666666666,0.8,0.7272727272727273,5.0
Rasamsonia_piperina,0.625,1.0,0.7692307692307693,5.0
Rhizomucor_pusillus,1.0,0.9,0.9473684210526315,10.0
Rhizopus_microsporus,0.5,1.0,0.6666666666666666,4.0
Rhizopus_stolonifer,1.0,1.0,1.0,5.0
Sordaria_fimicola,1.0,1.0,1.0,5.0
Stemphylium_vesicarium,0.8333333333333334,1.0,0.9090909090909091,5.0
Talaromyces_apiculatus,0.8,0.8,0.8,5.0
Talaromyces_funiculosus,1.0,0.5,0.6666666666666666,4.0
Thermoascus_verrucosus,0.6666666666666666,0.8,0.7272727272727273,5.0
Trichoderma,1.0,1.0,1.0,5.0
Trichoderma_atroviride,0.5,0.2,0.2857142857142857,5.0
Trichoderma_harzianum,1.0,0.6,0.75,5.0
Trichoderma_longibrachiatum,1.0,1.0,1.0,4.0
Ulocladium_chartarum,1.0,1.0,1.0,5.0
accuracy,0.8135095447870778,0.8135095447870778,0.8135095447870778,0.8135095447870778
macro avg,0.8315289918862284,0.7924297924297925,0.7868434583313128,681.0
weighted avg,0.8357020801823748,0.8135095447870778,0.8036263630762852,681.0
