,precision,recall,f1-score,support
Acremonium,0.25,0.2,0.2222222222222222,5.0
Acremonium_alternatum,0.25,1.0,0.4,4.0
Acremonium_strictum,0.0,0.0,0.0,5.0
Alternaria,0.0,0.0,0.0,5.0
Arthrinium_phaeospermum,0.0,0.0,0.0,5.0
Ascospirella_lutea,0.0,0.0,0.0,5.0
Aspergillus,1.0,0.25,0.4,4.0
Aspergillus_aculeatinus,0.0,0.0,0.0,5.0
Aspergillus_arachidicola,0.0,0.0,0.0,5.0
Aspergillus_calidoustus,0.0,0.0,0.0,4.0
Aspergillus_creber,0.0,0.0,0.0,5.0
Aspergillus_flavus,0.14893617021276595,0.7,0.24561403508771928,10.0
Aspergillus_lentulus,0.0,0.0,0.0,4.0
Aspergillus_minisclerotigenes,0.0,0.0,0.0,5.0
Aspergillus_montevidensis,0.6,0.75,0.6666666666666666,4.0
Aspergillus_neoglaber,0.0,0.0,0.0,5.0
Aspergillus_nomiae,1.0,0.4,0.5714285714285714,5.0
Aspergillus_occultus,1.0,0.2,0.3333333333333333,5.0
Aspergillus_pseudonomiae,0.0,0.0,0.0,5.0
Aspergillus_puniceus,1.0,0.25,0.4,4.0
Aspergillus_thermomutatus,0.0,0.0,0.0,4.0
Aspergillus_ustus,0.0,0.0,0.0,5.0
Aspergillus_uvarum,0.4642857142857143,1.0,0.6341463414634146,13.0
Aspergillus_wentii,0.0,0.0,0.0,4.0
Asteromyces_cruciatus,0.0,0.0,0.0,5.0
Aureobasidium_melanogenum,0.15384615384615385,0.4,0.2222222222222222,5.0
Aureobasidium_pullulans,0.125,1.0,0.2222222222222222,4.0
Byssochlamys_spectabilis,0.0,0.0,0.0,5.0
Cladosporium,0.3181818181818182,0.7,0.4375,10.0
Cladosporium_delicatulum,0.3333333333333333,0.2,0.25,5.0
Cladosporium_tenuissimum,0.0,0.0,0.0,4.0
Cladosporium_varians,0.0,0.0,0.0,5.0
Drechslera,0.0,0.0,0.0,5.0
