,precision,recall,f1-score,support
Acremonium,0.6666666666666666,0.8,0.7272727272727273,5.0
Acremonium_alternatum,0.625,1.0,0.7692307692307693,5.0
Acremonium_strictum,1.0,1.0,1.0,5.0
Alternaria,0.3333333333333333,0.2,0.25,5.0
Arthrinium_phaeospermum,0.6,0.75,0.6666666666666666,4.0
Ascospirella_lutea,1.0,0.2,0.3333333333333333,5.0
Aspergillus,1.0,0.4,0.5714285714285714,5.0
Aspergillus_aculeatinus,1.0,1.0,1.0,4.0
Aspergillus_arachidicola,0.8333333333333334,1.0,0.9090909090909091,5.0
Aspergillus_calidoustus,1.0,0.6,0.75,5.0
Aspergillus_creber,1.0,1.0,1.0,5.0
Aspergillus_flavus,0.7,0.7777777777777778,0.7368421052631579,9.0
Aspergillus_lentulus,0.6666666666666666,1.0,0.8,4.0
Aspergillus_minisclerotigenes,1.0,1.0,1.0,5.0
Aspergillus_montevidensis,1.0,1.0,1.0,5.0
Aspergillus_neoglaber,0.5,0.6,0.5454545454545454,5.0
Aspergillus_nomiae,0.8,0.8,0.8,5.0
Aspergillus_occultus,0.8,1.0,0.8888888888888888,4.0
Aspergillus_pseudonomiae,0.8333333333333334,1.0,0.9090909090909091,5.0
Aspergillus_puniceus,0.8333333333333334,1.0,0.9090909090909091,5.0
Aspergillus_thermomutatus,0.0,0.0,0.0,4.0
Aspergillus_ustus,1.0,0.75,0.8571428571428571,4.0
Aspergillus_uvarum,0.8666666666666667,1.0,0.9285714285714286,13.0
Aspergillus_wentii,0.8,0.8,0.8,5.0
Asteromyces_cruciatus,0.0,0.0,0.0,4.0
Aureobasidium_melanogenum,1.0,0.8,0.8888888888888888,5.0
Aureobasidium_pullulans,0.2631578947368421,1.0,0.4166666666666667,5.0
Byssochlamys_spectabilis,1.0,0.2,0.3333333333333333,5.0
Cladosporium,0.9,1.0,0.9473684210526315,9.0
Cladosporium_delicatulum,1.0,0.8,0.8888888888888888,5.0
Cladosporium_tenuissimum,0.3333333333333333,0.2,0.25,5.0
Cladosporium_varians,0.4444444444444444,0.8,0.5714285714285714,5.0
Drechslera,1.0,0.8,0.8888888888888888,5.0
Epicoccum_nigrum,0.5714285714285714,0.4444444444444444,0.5,9.0
Fusarium_acuminatum,0.4,0.4,0.4,5.0
Fusarium_chlamydosporum,0.8333333333333334,1.0,0.9090909090909091,5.0
Fusarium_equiseti,0.6666666666666666,0.8,0.7272727272727273,5.0
Fusarium_foetens,0.6666666666666666,0.5,0.5714285714285714,4.0
Fusarium_tricinctum,0.9090909090909091,1.0,0.9523809523809523,10.0
Hamigera_avellanea,0.6,0.6,0.6,5.0
Hamigera_avellanea var. alba,0.6666666666666666,0.8,0.7272727272727273,5.0
Hypocrea_pulvinata,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
Hypocrea_sulphurea,1.0,1.0,1.0,5.0
Hypocrea_thelephoricola,0.6666666666666666,0.8,0.7272727272727273,5.0
Mariannaea_elegans,1.0,1.0,1.0,5.0
Microdochium_nivale,0.8,1.0,0.8888888888888888,4.0
Monascus_ruber,1.0,0.6,0.75,5.0
Monilinia_fructigena,0.25,0.2,0.2222222222222222,5.0
Nigrospora_oryzae,0.6,0.8571428571428571,0.7058823529411765,14.0
Paecilomyces_maximus,0.7272727272727273,0.6153846153846154,0.6666666666666666,13.0
Penicillago_kabunica,0.75,0.6,0.6666666666666666,5.0
Penicilliopsis_zonata,1.0,0.5,0.6666666666666666,4.0
Penicillium restrictum,0.6,0.6,0.6,5.0
Penicillium_allii-sativi,1.0,0.6,0.75,5.0
Penicillium_antarcticum,1.0,1.0,1.0,4.0
Penicillium_arizonense,1.0,0.75,0.8571428571428571,4.0
Penicillium_atramentosum,1.0,0.2,0.3333333333333333,5.0
Penicillium_brasilianum,0.5714285714285714,0.8,0.6666666666666666,5.0
Penicillium_camponotum,0.8,1.0,0.8888888888888888,4.0
