,precision,recall,f1-score,support
Acremonium,0.0,0.0,0.0,5.0
Acremonium_alternatum,0.3333333333333333,0.2,0.25,5.0
Acremonium_strictum,0.3076923076923077,0.8,0.4444444444444444,5.0
Alternaria,0.0,0.0,0.0,4.0
Arthrinium_phaeospermum,1.0,0.8,0.8888888888888888,5.0
Ascospirella_lutea,0.0,0.0,0.0,5.0
Aspergillus,0.0,0.0,0.0,5.0
Aspergillus_aculeatinus,1.0,1.0,1.0,4.0
Aspergillus_arachidicola,1.0,0.6,0.75,5.0
Aspergillus_calidoustus,0.0,0.0,0.0,5.0
Aspergillus_creber,0.35714285714285715,1.0,0.5263157894736842,5.0
Aspergillus_flavus,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
Aspergillus_lentulus,0.6666666666666666,0.5,0.5714285714285714,4.0
Aspergillus_minisclerotigenes,0.8333333333333334,1.0,0.9090909090909091,5.0
Aspergillus_montevidensis,0.8,0.8,0.8,5.0
Aspergillus_neoglaber,1.0,0.6,0.75,5.0
Aspergillus_nomiae,0.0,0.0,0.0,4.0
Aspergillus_occultus,1.0,0.4,0.5714285714285714,5.0
Aspergillus_pseudonomiae,0.5,0.4,0.4444444444444444,5.0
Aspergillus_puniceus,0.625,1.0,0.7692307692307693,5.0
Aspergillus_thermomutatus,0.0,0.0,0.0,4.0
Aspergillus_ustus,0.0,0.0,0.0,4.0
Aspergillus_uvarum,0.5454545454545454,0.9230769230769231,0.6857142857142857,13.0
Aspergillus_wentii,0.5,1.0,0.6666666666666666,4.0
Asteromyces_cruciatus,0.0,0.0,0.0,5.0
Aureobasidium_melanogenum,0.625,1.0,0.7692307692307693,5.0
Aureobasidium_pullulans,0.23809523809523808,1.0,0.38461538461538464,5.0
Byssochlamys_spectabilis,0.0,0.0,0.0,5.0
Cladosporium,1.0,1.0,1.0,9.0
Cladosporium_delicatulum,0.5,0.8,0.6153846153846154,5.0
Cladosporium_tenuissimum,0.0,0.0,0.0,5.0
Cladosporium_varians,0.3,0.6,0.4,5.0
Drechslera,0.0,0.0,0.0,4.0
Epicoccum_nigrum,1.0,0.7,0.8235294117647058,10.0
Fusarium_acuminatum,0.0,0.0,0.0,5.0
Fusarium_chlamydosporum,1.0,0.2,0.3333333333333333,5.0
Fusarium_equiseti,0.5,0.75,0.6,4.0
Fusarium_foetens,1.0,0.6,0.75,5.0
Fusarium_tricinctum,0.8,0.4,0.5333333333333333,10.0
Hamigera_avellanea,1.0,0.6,0.75,5.0
Hamigera_avellanea var. alba,0.0,0.0,0.0,4.0
Hypocrea_pulvinata,0.2,0.5,0.2857142857142857,10.0
Hypocrea_sulphurea,0.5714285714285714,0.8,0.6666666666666666,5.0
Hypocrea_thelephoricola,0.6,0.6,0.6,5.0
Mariannaea_elegans,0.36363636363636365,1.0,0.5333333333333333,4.0
Microdochium_nivale,0.6666666666666666,0.4,0.5,5.0
Monascus_ruber,0.0,0.0,0.0,5.0
Monilinia_fructigena,0.0,0.0,0.0,5.0
Nigrospora_oryzae,0.3888888888888889,0.5,0.4375,14.0
Paecilomyces_maximus,0.5238095238095238,0.8461538461538461,0.6470588235294118,13.0
Penicillago_kabunica,0.6666666666666666,0.5,0.5714285714285714,4.0
Penicilliopsis_zonata,0.16666666666666666,0.4,0.23529411764705882,5.0
Penicillium restrictum,0.0,0.0,0.0,5.0
Penicillium_allii-sativi,0.0,0.0,0.0,5.0
Penicillium_antarcticum,0.0,0.0,0.0,4.0
Penicillium_arizonense,0.4,0.5,0.4444444444444444,4.0
Penicillium_atramentosum,0.35714285714285715,1.0,0.5263157894736842,5.0
Penicillium_brasilianum,0.0,0.0,0.0,4.0
Penicillium_camponotum,0.25,0.2,0.2222222222222222,5.0
Penicillium_canescens,0.5,0.5555555555555556,0.5263157894736842,9.0
Penicillium_caseifulvum,0.5,0.25,0.3333333333333333,4.0
Penicillium_chrysogenum,0.3333333333333333,0.2,0.25,5.0
Penicillium_citrinum,0.6666666666666666,0.4,0.5,5.0
Penicillium_coprobium,0.0,0.0,0.0,3.0
Penicillium_croceum,0.0,0.0,0.0,5.0
Penicillium_damascenum,0.0,0.0,0.0,5.0
Penicillium_fagi,0.5,0.625,0.5555555555555556,8.0
Penicillium_flavigenum,1.0,0.6,0.75,5.0
Penicillium_frequentans,0.0,0.0,0.0,4.0
