Model,Fold,Epoch,Accuracy,Loss,Val Loss,Val Accuracy
EfficientNet,1,0,0.1310,3.9494,3.0559,0.2023
EfficientNet,1,1,0.3720,2.3267,2.1134,0.4267
EfficientNet,1,2,0.5543,1.5951,1.7025,0.5235
EfficientNet,1,3,0.7124,1.0333,0.9279,0.7493
EfficientNet,1,4,0.8136,0.7248,0.7348,0.8094
EfficientNet,1,5,0.8529,0.6130,0.6343,0.8387
EfficientNet,1,6,0.8723,0.5425,0.6156,0.8446
EfficientNet,1,7,0.8841,0.5334,0.6021,0.8592
EfficientNet,1,8,0.8866,0.4900,0.5873,0.8666
EfficientNet,1,9,0.8940,0.4796,0.5898,0.8607
EfficientNet,2,0,0.1152,4.0165,3.0930,0.2317
EfficientNet,2,1,0.3672,2.4183,2.0679,0.4487
EfficientNet,2,2,0.5635,1.5689,1.5502,0.5630
EfficientNet,2,3,0.7267,0.9931,0.9818,0.7170
EfficientNet,2,4,0.8103,0.7350,0.8157,0.7566
EfficientNet,2,5,0.8492,0.6005,0.7014,0.8021
EfficientNet,2,6,0.8866,0.5136,0.6776,0.8094
EfficientNet,2,7,0.8841,0.5122,0.6710,0.8094
EfficientNet,2,8,0.8881,0.4914,0.6530,0.8109
EfficientNet,2,9,0.8892,0.4955,0.6614,0.8065
EfficientNet,3,0,0.1145,4.0267,3.1135,0.2170
EfficientNet,3,1,0.3632,2.4357,2.2363,0.3871
EfficientNet,3,2,0.5282,1.6373,1.4841,0.5982
EfficientNet,3,3,0.7003,1.0744,0.9816,0.7317
EfficientNet,3,4,0.7971,0.7807,0.8222,0.7771
EfficientNet,3,5,0.8452,0.6478,0.7140,0.8123
EfficientNet,3,6,0.8727,0.5438,0.7038,0.8123
EfficientNet,3,7,0.8764,0.5332,0.6892,0.8182
EfficientNet,3,8,0.8819,0.5231,0.6817,0.8196
EfficientNet,3,9,0.8793,0.5203,0.6827,0.8211
EfficientNet,4,0,0.1082,4.0309,3.1364,0.2467
EfficientNet,4,1,0.3605,2.4336,2.0602,0.4405
EfficientNet,4,2,0.5317,1.6564,2.0141,0.4537
EfficientNet,4,3,0.6942,1.0641,1.0206,0.7313
EfficientNet,4,4,0.8093,0.7600,0.8874,0.7518
EfficientNet,4,5,0.8482,0.6381,0.7736,0.8018
EfficientNet,4,6,0.8761,0.5374,0.7518,0.8047
EfficientNet,4,7,0.8643,0.5420,0.7383,0.8120
EfficientNet,4,8,0.8801,0.5217,0.7291,0.8150
EfficientNet,4,9,0.8750,0.5157,0.7289,0.8223
EfficientNet,5,0,0.1129,4.1087,3.2727,0.1982
EfficientNet,5,1,0.3696,2.4410,2.0919,0.4376
EfficientNet,5,2,0.5149,1.6899,1.6177,0.5609
EfficientNet,5,3,0.6945,1.0826,1.0835,0.7137
EfficientNet,5,4,0.7954,0.8035,0.9143,0.7651
EfficientNet,5,5,0.8350,0.6711,0.8085,0.7988
EfficientNet,5,6,0.8629,0.5869,0.7900,0.8076
EfficientNet,5,7,0.8775,0.5527,0.7855,0.7988
EfficientNet,5,8,0.8819,0.5468,0.7758,0.8047
EfficientNet,5,9,0.8816,0.5345,0.7684,0.8135
