media,n_samples,accuracy,macro_f1
CREA,1359,1.0,1.0
CYA,1335,1.0,1.0
MEAox,1336,1.0,1.0
OAT,1386,1.0,1.0
PDA,1305,1.0,1.0
YES,1383,1.0,1.0
