,precision,recall,f1-score,support
Acremonium,0.3333333333333333,0.1724137931034483,0.22727272727272727,29.0
Acremonium_alternatum,0.6756756756756757,0.8620689655172413,0.7575757575757576,29.0
Acremonium_strictum,0.6896551724137931,0.6896551724137931,0.6896551724137931,29.0
Alternaria,0.55,0.3793103448275862,0.4489795918367347,29.0
Arthrinium_phaeospermum,0.5652173913043478,0.9285714285714286,0.7027027027027027,28.0
Ascospirella_lutea,0.45454545454545453,0.1724137931034483,0.25,29.0
Aspergillus,0.5,0.3103448275862069,0.3829787234042553,29.0
Aspergillus_aculeatinus,0.6285714285714286,0.8148148148148148,0.7096774193548387,27.0
Aspergillus_arachidicola,0.64,0.5714285714285714,0.6037735849056604,28.0
Aspergillus_calidoustus,0.76,0.6551724137931034,0.7037037037037037,29.0
Aspergillus_creber,0.92,0.7931034482758621,0.8518518518518519,29.0
Aspergillus_flavus,0.6842105263157895,0.6724137931034483,0.6782608695652174,58.0
Aspergillus_lentulus,0.6190476190476191,0.5416666666666666,0.5777777777777777,24.0
Aspergillus_minisclerotigenes,0.8461538461538461,0.7586206896551724,0.8,29.0
Aspergillus_montevidensis,0.9333333333333333,0.9655172413793104,0.9491525423728814,29.0
Aspergillus_neoglaber,0.5666666666666667,0.6071428571428571,0.5862068965517241,28.0
Aspergillus_nomiae,0.7058823529411765,0.8275862068965517,0.7619047619047619,29.0
Aspergillus_occultus,0.71875,0.7931034482758621,0.7540983606557377,29.0
Aspergillus_pseudonomiae,0.8333333333333334,0.7142857142857143,0.7692307692307693,28.0
Aspergillus_puniceus,0.5862068965517241,0.5862068965517241,0.5862068965517241,29.0
Aspergillus_thermomutatus,0.6,0.5,0.5454545454545454,24.0
Aspergillus_ustus,0.7619047619047619,0.5925925925925926,0.6666666666666666,27.0
Aspergillus_uvarum,0.7948717948717948,0.8611111111111112,0.8266666666666667,72.0
Aspergillus_wentii,0.7727272727272727,0.6296296296296297,0.6938775510204082,27.0
Asteromyces_cruciatus,0.7333333333333333,0.39285714285714285,0.5116279069767442,28.0
Aureobasidium_melanogenum,0.8333333333333334,0.8620689655172413,0.847457627118644,29.0
Aureobasidium_pullulans,0.34615384615384615,0.3103448275862069,0.32727272727272727,29.0
Byssochlamys_spectabilis,0.4166666666666667,0.1724137931034483,0.24390243902439024,29.0
Cladosporium,0.7605633802816901,0.9473684210526315,0.84375,57.0
Cladosporium_delicatulum,0.7777777777777778,0.7241379310344828,0.75,29.0
Cladosporium_tenuissimum,0.29411764705882354,0.1724137931034483,0.21739130434782608,29.0
Cladosporium_varians,0.5555555555555556,0.3448275862068966,0.425531914893617,29.0
Drechslera,0.8421052631578947,0.5517241379310345,0.6666666666666666,29.0
Epicoccum_nigrum,0.34782608695652173,0.5614035087719298,0.42953020134228187,57.0
Fusarium_acuminatum,0.48,0.41379310344827586,0.4444444444444444,29.0
Fusarium_chlamydosporum,0.6111111111111112,0.7586206896551724,0.676923076923077,29.0
Fusarium_equiseti,0.5789473684210527,0.3793103448275862,0.4583333333333333,29.0
Fusarium_foetens,0.7777777777777778,0.5,0.6086956521739131,28.0
Fusarium_tricinctum,0.6285714285714286,0.7586206896551724,0.6875,58.0
Hamigera_avellanea,0.8888888888888888,0.8275862068965517,0.8571428571428571,29.0
