,precision,recall,f1-score,support
Acremonium,0.0,0.0,0.0,29.0
Acremonium_alternatum,0.0,0.0,0.0,28.0
Acremonium_strictum,0.0,0.0,0.0,29.0
Alternaria,0.0,0.0,0.0,29.0
Arthrinium_phaeospermum,0.0,0.0,0.0,29.0
Ascospirella_lutea,0.0,0.0,0.0,29.0
Aspergillus,0.0,0.0,0.0,28.0
Aspergillus_aculeatinus,0.0,0.0,0.0,27.0
Aspergillus_arachidicola,0.0,0.0,0.0,29.0
Aspergillus_calidoustus,0.0,0.0,0.0,29.0
Aspergillus_creber,0.0,0.0,0.0,28.0
Aspergillus_flavus,0.0,0.0,0.0,58.0
Aspergillus_lentulus,0.0,0.0,0.0,24.0
Aspergillus_minisclerotigenes,0.0,0.0,0.0,29.0
Aspergillus_montevidensis,0.0,0.0,0.0,29.0
Aspergillus_neoglaber,0.0,0.0,0.0,29.0
Aspergillus_nomiae,0.0,0.0,0.0,29.0
Aspergillus_occultus,0.0,0.0,0.0,28.0
Aspergillus_pseudonomiae,0.0,0.0,0.0,28.0
Aspergillus_puniceus,0.0,0.0,0.0,29.0
Aspergillus_thermomutatus,0.0,0.0,0.0,25.0
Aspergillus_ustus,0.0,0.0,0.0,26.0
Aspergillus_uvarum,0.21052631578947367,0.16666666666666666,0.18604651162790697,72.0
Aspergillus_wentii,0.0,0.0,0.0,27.0
Asteromyces_cruciatus,0.0,0.0,0.0,29.0
Aureobasidium_melanogenum,0.0,0.0,0.0,29.0
Aureobasidium_pullulans,0.0,0.0,0.0,28.0
Byssochlamys_spectabilis,0.0,0.0,0.0,29.0
Cladosporium,0.0,0.0,0.0,58.0
Cladosporium_delicatulum,0.019067796610169493,0.3103448275862069,0.03592814371257485,29.0
Cladosporium_tenuissimum,0.0,0.0,0.0,28.0
Cladosporium_varians,0.0,0.0,0.0,29.0
Drechslera,0.0,0.0,0.0,29.0
Epicoccum_nigrum,0.0,0.0,0.0,58.0
Fusarium_acuminatum,0.0,0.0,0.0,28.0
Fusarium_chlamydosporum,0.0,0.0,0.0,29.0
Fusarium_equiseti,0.0,0.0,0.0,29.0
Fusarium_foetens,0.0,0.0,0.0,29.0
Fusarium_tricinctum,0.0,0.0,0.0,57.0
Hamigera_avellanea,0.0,0.0,0.0,29.0
Hamigera_avellanea var. alba,0.0,0.0,0.0,29.0
Hypocrea_pulvinata,0.0,0.0,0.0,57.0
Hypocrea_sulphurea,0.0,0.0,0.0,29.0
Hypocrea_thelephoricola,0.0,0.0,0.0,29.0
Mariannaea_elegans,0.0,0.0,0.0,29.0
Microdochium_nivale,0.0,0.0,0.0,29.0
Monascus_ruber,0.0,0.0,0.0,28.0
Monilinia_fructigena,0.0,0.0,0.0,29.0
Nigrospora_oryzae,0.013157894736842105,0.11494252873563218,0.023612750885478158,87.0
Paecilomyces_maximus,0.0,0.0,0.0,69.0
Penicillago_kabunica,0.0,0.0,0.0,29.0
Penicilliopsis_zonata,0.0,0.0,0.0,29.0
Penicillium restrictum,0.0,0.0,0.0,29.0
Penicillium_allii-sativi,0.0,0.0,0.0,29.0
Penicillium_antarcticum,0.0,0.0,0.0,26.0
Penicillium_arizonense,0.0,0.0,0.0,22.0
Penicillium_atramentosum,0.0,0.0,0.0,29.0
Penicillium_brasilianum,0.0,0.0,0.0,29.0
Penicillium_camponotum,0.0,0.0,0.0,27.0
Penicillium_canescens,0.0,0.0,0.0,57.0
Penicillium_caseifulvum,0.0,0.0,0.0,17.0
Penicillium_chrysogenum,0.0,0.0,0.0,29.0
Penicillium_citrinum,0.0,0.0,0.0,29.0
Penicillium_coprobium,0.0,0.0,0.0,16.0
Penicillium_croceum,0.0,0.0,0.0,29.0
Penicillium_damascenum,0.0,0.0,0.0,29.0
Penicillium_fagi,0.0,0.0,0.0,46.0
Penicillium_flavigenum,0.0,0.0,0.0,28.0
Penicillium_frequentans,0.0,0.0,0.0,17.0
Penicillium_glabrum,0.0,0.0,0.0,49.0
Penicillium_griseopurpureum,0.0,0.0,0.0,17.0
Penicillium_hordei,0.0,0.0,0.0,29.0
Penicillium_janczewskii,0.0,0.0,0.0,57.0
Penicillium_jensenii,0.0,0.0,0.0,29.0
Penicillium_krskae,0.0,0.0,0.0,29.0
Penicillium_manginii,0.0,0.0,0.0,29.0
Penicillium_neojanthinellum,0.044048734770384255,0.8173913043478261,0.08359270787016451,115.0
Penicillium_ochrochloron,0.0,0.0,0.0,57.0
Penicillium_olsonii,0.0,0.0,0.0,29.0
Penicillium_onobense,0.0,0.0,0.0,87.0
Penicillium_piscarium,0.0,0.0,0.0,26.0
Penicillium_restrictum,0.0,0.0,0.0,58.0
Penicillium_ribium,0.0,0.0,0.0,29.0
