media,n_samples,accuracy,macro_f1
PDA,2649,0.9988674971687429,0.9993365956771408
CYA,2717,0.9959514170040485,0.9943222119488109
CREA,2691,0.992196209587514,0.9922820517376002
YES,2729,0.9908391352143643,0.9923270179025243
MEAox,2666,0.986496624156039,0.9829347622968774
OAT,2740,0.9832116788321168,0.9821908106565288
